trial_id,split,n_total,n_model_valid,start_time,end_time,duration_min
57,train,10,10,2026-05-15 02:35:43.779000+00:00,2026-05-15 02:46:08.099000+00:00,10.405333333333335
58,train,8,8,2026-05-15 02:47:17.102000+00:00,2026-05-15 02:55:21.801000+00:00,8.078316666666668
59,test,10,10,2026-05-15 14:04:58.822000+00:00,2026-05-15 14:15:24.262000+00:00,10.424000000000001
60,test,10,10,2026-05-15 14:16:33.579000+00:00,2026-05-15 14:26:58.153000+00:00,10.409566666666667
61,test,10,10,2026-05-15 14:28:07.559000+00:00,2026-05-15 14:38:31.723000+00:00,10.402733333333334
62,test,10,10,2026-05-15 14:39:40.775000+00:00,2026-05-15 14:50:04.940000+00:00,10.40275
63,test,10,10,2026-05-15 14:51:14.274000+00:00,2026-05-15 15:01:38.148000+00:00,10.3979
64,test,10,10,2026-05-15 15:02:47.563000+00:00,2026-05-15 15:13:10.841000+00:00,10.387966666666667
65,test,10,10,2026-05-15 15:14:20.080000+00:00,2026-05-15 15:24:45.024000+00:00,10.415733333333332
66,test,10,10,2026-05-15 15:25:54.435000+00:00,2026-05-15 15:36:19.048000+00:00,10.410216666666667
67,test,10,10,2026-05-15 15:37:28.174000+00:00,2026-05-15 15:47:51.554000+00:00,10.389666666666667
68,test,10,10,2026-05-15 15:49:00.656000+00:00,2026-05-15 15:59:24.786000+00:00,10.402166666666666
69,test,10,10,2026-05-15 16:00:33.952000+00:00,2026-05-15 16:10:57.132000+00:00,10.386333333333333
70,test,10,10,2026-05-15 16:12:06.577000+00:00,2026-05-15 16:22:29.128000+00:00,10.375850000000002
71,test,10,10,2026-05-15 16:23:38.729000+00:00,2026-05-15 16:34:02.835000+00:00,10.401766666666667
72,test,10,10,2026-05-15 16:35:11.957000+00:00,2026-05-15 16:45:36.892000+00:00,10.415583333333332
73,test,10,10,2026-05-15 16:46:46.877000+00:00,2026-05-15 16:57:12.130000+00:00,10.420883333333334
74,test,10,10,2026-05-15 16:58:21.774000+00:00,2026-05-15 17:08:45.838000+00:00,10.401066666666667
75,test,10,10,2026-05-15 17:09:55.143000+00:00,2026-05-15 17:20:18.957000+00:00,10.396899999999999
76,test,10,10,2026-05-15 17:21:28.614000+00:00,2026-05-15 17:31:52.164000+00:00,10.3925
77,test,10,10,2026-05-15 17:33:01.713000+00:00,2026-05-15 17:43:25.826000+00:00,10.401883333333334
78,test,10,10,2026-05-15 17:44:35.194000+00:00,2026-05-15 17:54:59.648000+00:00,10.407566666666666
79,test,10,10,2026-05-15 17:56:08.746000+00:00,2026-05-15 18:06:33.574000+00:00,10.4138
80,test,10,10,2026-05-15 18:07:42.888000+00:00,2026-05-15 18:18:08.698000+00:00,10.430166666666667
81,test,10,10,2026-05-15 18:19:18.137000+00:00,2026-05-15 18:29:43.014000+00:00,10.414616666666666
82,test,10,10,2026-05-15 18:30:52.422000+00:00,2026-05-15 18:41:18.202000+00:00,10.429666666666666
83,test,10,10,2026-05-15 18:42:28.060000+00:00,2026-05-15 18:52:53.120000+00:00,10.417666666666666
84,test,9,9,2026-05-15 18:54:02.475000+00:00,2026-05-15 19:03:18.401000+00:00,9.265433333333334
