lag_samples,split,n,intercept,slope,mean_error,mae,rmse,max_abs,correlation
0,train,731,0.6567147801378311,0.7909130554967375,1.9440293728046516e-15,0.12232450023004991,0.14996915027754706,0.6948798929359072,0.8846034064270263
0,test,259,0.6567147801378311,0.7909130554967375,-0.08046241320824936,0.08223444212896694,0.0974539226958672,0.24696908929194894,0.9831581624220553
1,train,676,4.370107106766301,0.014440382052263293,-1.41372778046943e-15,0.2538334441677747,0.32107857051764055,0.8664349682326717,0.016120268842072828
1,test,233,4.370107106766301,0.014440382052263293,-0.04616886328346947,0.2381778261537193,0.29211820669929267,0.7573904050474707,-0.03689223233396903
2,train,622,4.880808567236724,-0.09117509331558048,9.138813321673314e-17,0.2527413883495903,0.31890381723342043,0.8805194480034535,0.10316595865987978
2,test,207,4.880808567236724,-0.09117509331558048,-0.04738321917735378,0.24362531961358713,0.2989395395135417,0.7693826549585294,-0.04149368749399067
3,train,569,4.772612599379168,-0.06804248819240888,-5.0012718044274185e-15,0.2530863086067964,0.31928826650774866,0.8895476270651197,0.07717098337333976
3,test,181,4.772612599379168,-0.06804248819240888,-0.04741657638905434,0.2455450964758656,0.30123037918345325,0.7836423753024393,0.05563702447865551
4,train,516,4.660130342722273,-0.04250755389943067,-2.5543735946414452e-15,0.24695328472507797,0.31401601047505123,0.8711427635770943,0.04980340961078403
4,test,155,4.660130342722273,-0.04250755389943067,-0.067966094023461,0.24811894191748443,0.3032763107275219,0.8052151376242276,-0.04034773573250873
5,train,463,4.221785951573725,0.05062245739164651,-2.7623691671019014e-16,0.24871593911006412,0.3153803980596211,0.8579400552011385,0.05779283777232271
5,test,129,4.221785951573725,0.05062245739164651,-0.07932504924031117,0.24886921177872315,0.3101601589124691,0.7969395265013715,0.024686674427862647
6,train,411,4.183049780394356,0.05963668469220577,-1.1064412430327594e-15,0.24466880974262953,0.3103569820550537,0.8583006542241676,0.07039289304266785
6,test,103,4.183049780394356,0.05963668469220577,-0.08362630242189262,0.26047904201700567,0.3223305991047427,0.7775496610677579,0.05356116355541517
7,train,360,4.612949004355628,-0.029101095468610415,2.200708751034755e-15,0.2472970443687705,0.31140339284351,0.8807996788267034,0.03411873552556332
7,test,77,4.612949004355628,-0.029101095468610415,-0.09050460894448124,0.26561369432572,0.3209995225761512,0.8053562431963281,-0.12371286732595266
8,train,309,5.065797439139697,-0.121349342669872,3.5642111340717e-15,0.23970785444674736,0.3055992004072783,0.8926342441865684,0.14229971210451656
8,test,51,5.065797439139697,-0.121349342669872,-0.08578471593425732,0.2492870732900657,0.3020687491415553,0.6905228589270527,0.1644128210983501
9,train,259,5.081659874066039,-0.12244813823258265,1.508874535397896e-16,0.24775234707457275,0.31206587181764517,1.0007256583530526,0.14455269927652695
9,test,25,5.081659874066039,-0.12244813823258265,-0.07768931361865784,0.25136817607212253,0.2941368239323311,0.5365793358616169,-0.11804210257400351
10,train,210,5.006613690593384,-0.10438109564530153,-2.3008050491279436e-15,0.24370443645795065,0.3061980784235288,0.8452555398960508,0.1238965800475077
10,test,0,5.006613690593384,-0.10438109564530153,,,,,
