sample_index,utc_time,utc_datetime,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,elapsed_s,elapsed_min,elapsed_h,dt_s,session_id,trial_id,total_flow,valid_for_model,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,trial_n_model_valid,trial_ph_min,trial_ph_max,trial_log10_ratio_min,trial_log10_ratio_max,trial_total_flow_min,trial_total_flow_max,trial_n_total,trial_ph_range,trial_log10_flow_ratio_range,trial_total_flow_range,uninformative_flat_ph_trial,valid_for_model_before_flat_trial_filter,acid_flow_in_bounds,acetate_flow_in_bounds,water_flow_in_bounds,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance
0,2026-05-11T19:46:07.807Z,2026-05-11 19:46:07.807000+00:00,1,0,4.414143562316895,8.549332618713379,3.926202774047852,4.3504838943481445,0.0,0.0,0.0,,0,0,16.826019287109375,True,0.4592408494499213,-0.3379594884200798,20,4.067340850830078,5.189899444580078,-0.6910578337543448,0.7390364804267001,10.32464349269867,24.666547298229737,20,1.12255859375,1.430094314181045,14.341903805531068,False,True,True,True,True,0.05081019148280146,0.0233341154972749,0.07414430698007636,0.0233341154972749,4.423065365111247
1,2026-05-11T19:48:30.329Z,2026-05-11 19:48:30.329000+00:00,1,1,4.619248390197754,7.116000175476074,6.097648143768311,7.160530090332031,142.522,2.3753666666666664,0.03958944444444444,142.522,0,0,20.374178409576416,True,0.8568926353856318,-0.06707358972274756,20,4.067340850830078,5.189899444580078,-0.6910578337543448,0.7390364804267001,10.32464349269867,24.666547298229737,20,1.12255859375,1.430094314181045,14.341903805531068,False,True,True,True,True,0.034926562595188435,0.02992831426715225,0.06485487686234068,0.02992831426715225,4.69347214830501
2,2026-05-11T19:50:50.952Z,2026-05-11 19:50:50.952000+00:00,1,2,4.845854759216309,6.221703052520752,9.732967376708984,8.711876869,283.145,4.719083333333333,0.07865138888888888,140.623,0,0,24.666547298229737,True,1.5643574266640108,0.1943359882974261,20,4.067340850830078,5.189899444580078,-0.6910578337543448,0.7390364804267001,10.32464349269867,24.666547298229737,20,1.12255859375,1.430094314181045,14.341903805531068,False,True,True,True,True,0.02522324254504509,0.03945816679988893,0.06468140934493402,0.03945816679988893,4.954649299351862
3,2026-05-11T19:53:12.043Z,2026-05-11 19:53:12.043000+00:00,1,3,4.805054664611816,4.207277774810791,5.855237007141113,3.0271997451782227,424.236,7.0706,0.11784333333333333,141.091,0,0,13.089714527130127,True,1.3916925196136911,0.14354329289967996,20,4.067340850830078,5.189899444580078,-0.6910578337543448,0.7390364804267001,10.32464349269867,24.666547298229737,20,1.12255859375,1.430094314181045,14.341903805531068,False,True,True,True,True,0.03214186043622773,0.04473158673556537,0.07687344717179309,0.04473158673556537,4.90383304682413
4,2026-05-11T19:55:33.210Z,2026-05-11 19:55:33.210000+00:00,1,4,4.993066787719727,2.5869803428649902,6.577486038208008,4.8657331466674805,565.403,9.423383333333334,0.1570563888888889,141.167,0,0,14.030199527740479,True,2.542534216136978,0.40526680614915495,20,4.067340850830078,5.189899444580078,-0.6910578337543448,0.7390364804267001,10.32464349269867,24.666547298229737,20,1.12255859375,1.430094314181045,14.341903805531068,False,True,True,True,True,0.018438656825585542,0.04688091587865887,0.0653195727042444,0.04688091587865887,5.165490970579203
5,2026-05-11T19:57:54.609Z,2026-05-11 19:57:54.609000+00:00,1,5,4.670523643493652,7.768003463745117,7.414762974,7.852952003479004,706.802,11.780033333333334,0.1963338888888889,141.399,0,0,23.03571844122412,True,0.9545262188162295,-0.020212137955673292,20,4.067340850830078,5.189899444580078,-0.6910578337543448,0.7390364804267001,10.32464349269867,24.666547298229737,20,1.12255859375,1.430094314181045,14.341903805531068,False,True,True,True,True,0.03372155934083524,0.03218811253019457,0.0659096718710298,0.03218811253019457,4.740267423435141
6,2026-05-11T20:00:15.871Z,2026-05-11 20:00:15.871000+00:00,1,6,4.743302345275879,8.820981979370117,9.993937492370604,3.0263543128967285,848.064,14.1344,0.23557333333333333,141.262,0,0,21.84127378463745,True,1.1329733487432252,0.05421969394999294,20,4.067340850830078,5.189899444580078,-0.6910578337543448,0.7390364804267001,10.32464349269867,24.666547298229737,20,1.12255859375,1.430094314181045,14.341903805531068,False,True,True,True,True,0.04038675613129557,0.045757118338949916,0.08614387447024549,0.045757118338949916,4.8145299840991145
7,2026-05-11T20:02:37.094Z,2026-05-11 20:02:37.094000+00:00,1,7,4.902092933654785,3.8793654441833496,7.435241699,2.0945754051208496,989.287,16.488116666666667,0.27480194444444445,141.223,0,0,13.409182548304198,True,1.9166128600099448,0.2825343978332126,20,4.067340850830078,5.189899444580078,-0.6910578337543448,0.7390364804267001,10.32464349269867,24.666547298229737,20,1.12255859375,1.430094314181045,14.341903805531068,False,True,True,True,True,0.028930663224313823,0.05544888118433665,0.08437954440865048,0.05544888118433665,5.042741416058761
8,2026-05-11T20:04:58.331Z,2026-05-11 20:04:58.331000+00:00,1,8,4.618697166442871,5.235406398773193,4.867502212524414,5.546240329742432,1130.524,18.842066666666664,0.3140344444444444,141.237,0,0,15.649148941040039,True,0.9297276737991171,-0.031644241860911845,20,4.067340850830078,5.189899444580078,-0.6910578337543448,0.7390364804267001,10.32464349269867,24.666547298229737,20,1.12255859375,1.430094314181045,14.341903805531068,False,True,True,True,True,0.03345489533327459,0.031103942015398324,0.0645588373486729,0.031103942015398324,4.728858781063189
9,2026-05-11T20:07:19.569Z,2026-05-11 20:07:19.569000+00:00,1,9,5.189899444580078,1.6605889797210691,8.562686920166016,9.065704345703123,1271.762,21.196033333333332,0.35326722222222223,141.238,0,0,19.28898024559021,True,5.1564155999664045,0.7123479136267028,20,4.067340850830078,5.189899444580078,-0.6910578337543448,0.7390364804267001,10.32464349269867,24.666547298229737,20,1.12255859375,1.430094314181045,14.341903805531068,False,True,True,True,True,0.008609003475446601,0.04439159982095783,0.053000603296404436,0.04439159982095783,5.472550660107976
