source,column,category,model_role,dtype,n_rows,non_null,missing,missing_fraction,unique_values,first_valid_value,last_valid_value,numeric_non_null,numeric_mean,numeric_std,numeric_min,numeric_median,numeric_max,zero_count
raw_csv,observation.biosmb-sensors.UV_2C,UV sensor,not used in current PH_2 model validation,float64,1086,1086,0,0.0,6,0.0,0.0,1086,0.00028513718115667476,0.004800873731510241,0.0,0.0,0.1026954427361488,1081
raw_csv,observation.biosmb-sensors.UV_3A,UV sensor,not used in current PH_2 model validation,float64,1086,1086,0,0.0,229,0.0108259730041027,0.0,1086,0.00607259159767308,0.014531219057779045,0.0,0.0,0.1607254296541214,856
raw_csv,observation.biosmb-sensors.UV_3B,UV sensor,not used in current PH_2 model validation,float64,1086,1086,0,0.0,403,0.1341863721609115,0.0,1086,0.024954712298457794,0.04419797594515761,0.0,0.0,0.3051030933856964,683
raw_csv,observation.biosmb-sensors.UV_3C,UV sensor,not used in current PH_2 model validation,float64,1086,1086,0,0.0,363,0.006631267,0.0,1086,0.012550731987017505,0.022604341892086172,0.0,0.0,0.1470457911491394,723
raw_csv,observation.biosmb-sensors.UV_4A,UV sensor,not used in current PH_2 model validation,int64,1086,1086,0,0.0,1,0,0,1086,0.0,0.0,0.0,0.0,0.0,1086
raw_csv,observation.biosmb-sensors.UV_4B,UV sensor,not used in current PH_2 model validation,int64,1086,1086,0,0.0,1,0,0,1086,0.0,0.0,0.0,0.0,0.0,1086
raw_csv,observation.biosmb-sensors.UV_4C,UV sensor,not used in current PH_2 model validation,int64,1086,1086,0,0.0,1,0,0,1086,0.0,0.0,0.0,0.0,0.0,1086
raw_csv,observation.biosmb-flows[0],flow,acetic acid inlet,float64,1086,1086,0,0.0,1086,8.549332618713379,1.5474485158920288,1086,5.4610228196043025,2.654817122277634,0.0,5.5827343463897705,9.971034049987791,1
raw_csv,observation.biosmb-flows[1],flow,sodium acetate inlet,float64,1086,1086,0,0.0,1086,3.926202774047852,9.401263236999512,1086,5.7702715674569,2.6300898277110734,0.0,5.959181547164917,9.993937492370604,1
raw_csv,observation.biosmb-flows[2],flow,Arium water inlet,float64,1086,1086,0,0.0,1086,4.3504838943481445,1.0609419345855713,1086,5.110772009163247,2.627761170951429,0.0,4.807660341262817,9.969668388,1
raw_csv,observation.biosmb-flows[3],flow,unused logged flow channel,int64,1086,1086,0,0.0,1,0,0,1086,0.0,0.0,0.0,0.0,0.0,1086
raw_csv,observation.biosmb-flows[4],flow,unused logged flow channel,int64,1086,1086,0,0.0,1,0,0,1086,0.0,0.0,0.0,0.0,0.0,1086
raw_csv,observation.biosmb-flows[5],flow,unused logged flow channel,int64,1086,1086,0,0.0,1,0,0,1086,0.0,0.0,0.0,0.0,0.0,1086
raw_csv,observation.biosmb-flows[6],flow,unused logged flow channel,int64,1086,1086,0,0.0,1,0,0,1086,0.0,0.0,0.0,0.0,0.0,1086
raw_csv,observation.mfcs-mass.acid-mass-grams,mass balance,not used in current PH_2 model validation,float64,1086,1086,0,0.0,952,2912.42,1204.98,1086,2165.089880294659,502.45275775752526,1113.0,2109.205,3161.48,0
raw_csv,observation.mfcs-mass.sodium-mass-grams,mass balance,not used in current PH_2 model validation,float64,1086,1086,0,0.0,959,2948.33,1348.48,1086,2339.900119705341,475.40052834128676,1319.57,2289.385,3233.3,0
raw_csv,observation.mfcs-mass.water-mass-grams,mass balance,not used in current PH_2 model validation,float64,1086,1086,0,0.0,954,2939.09,1376.97,1086,2231.3326979742174,484.59190843886296,1137.08,2183.195,3232.1800000000003,0
