cycle,target_ph,is_test,steps,mean_abs_error,rmse,max_abs_error,mean_error,tail_mae,tail_mean_error,tail_std_error,early_mean_error,mid_mean_error,final_error,drift_tail_minus_early,tail_ratio_action_std,tail_sum_action_std,tail_mean_sigma,tail_train_updates,mean_reward
0,5.454911231994629,False,200,0.7075316711274974,0.7570837663395935,1.5062732094468254,-0.7068082240328831,0.7151181634815066,-0.7151181634815066,0.26564836120318885,-0.648889000019621,-0.7463566484291028,-0.447336014952798,-0.06622916346188557,0.3715966650113359,0.34537573944021943,0.338066,50,-1.3527842569571893
1,4.729825973510742,False,200,0.1929424784989574,0.27025411669179344,0.732685561505015,0.11605477281075588,0.1028876838644898,0.011906759583779387,0.1624532225168804,0.2214947210031027,0.07610653056063667,-0.0573229489309223,-0.20958796141932332,0.3033631985523304,0.32111074341225126,0.324466,50,-0.31692397329874294
2,5.005549907684326,False,200,0.2405465228884401,0.26324306120208824,0.7554204665174602,-0.22257197164655498,0.24481830683462755,-0.2324877869297903,0.1268325856796368,-0.245109413141629,-0.1940521393222639,-0.1921722914704338,0.01262162621183871,0.2971648616009812,0.27753064899328095,0.310866,50,-0.35162146212741535
3,4.439845561981201,False,200,0.31022230894052816,0.3240363636789139,0.8775128163845238,0.30568628295866795,0.29994059917252897,0.29994059917252897,0.07280262200452792,0.32157635411504054,0.29273881315324823,0.3092446929311281,-0.021635754942511576,0.2890462885299666,0.3083773318243049,0.297266,50,-0.45365213345286437
4,4.791010856628418,False,200,0.06731486336214713,0.09448779545533159,0.3561659792524718,-0.015296371030105132,0.06880567649986646,-0.03211559763740946,0.08894820863110629,-0.01100026958729527,-0.002131471798009204,0.0534013880436452,-0.021115328050114193,0.31758419547096145,0.2615508222420824,0.283666,50,-0.11087153576756133
5,3.977292060852051,False,200,0.6848804278609734,0.6960931247269073,0.9534288096159608,0.6848804278609734,0.6421045152829522,0.6421045152829522,0.12750768503153326,0.724506267126267,0.6737491060013393,0.6668064354917771,-0.08240175184331477,0.2528954193945314,0.24510189864203816,0.270066,50,-1.2029095049670635
6,4.035871505737305,False,200,0.5299803025759978,0.5770750279744942,1.0883766134616015,0.5220777694795571,0.49537174907080506,0.48575567503079425,0.2677528436044585,0.5770308295364812,0.5196990032321783,0.3154976952789896,-0.09127515450568696,0.3479214605115254,0.29636097486905366,0.25646599999999997,50,-0.9028266229752601
7,5.3686203956604,False,200,0.5559464551738007,0.5600882081766352,0.6086203956604006,-0.5559464551738007,0.5569316320375993,-0.5569316320375993,0.07052472946072505,-0.5613244932928294,-0.5451955977466441,-0.6054677170841156,0.004392861255230085,0.20804454109432532,0.17732952960527137,0.24286599999999992,50,-0.8940250439684317
8,5.187441825866699,False,200,0.38185888436186316,0.3863207818703016,0.4613879590541803,-0.38185888436186316,0.3878093179402366,-0.3878093179402366,0.048338888596157335,-0.3850299428541844,-0.3797248328157966,-0.3251190648938404,-0.0027793750860521937,0.21566690262344804,0.16901942004600073,0.22926599999999994,50,-0.5522936586723761
9,4.675295352935791,False,200,0.0852734098070307,0.10775976026639571,0.4330723594755383,0.04087209128562547,0.0870812905414518,0.04502266613094672,0.10226601500973392,0.022528697002397114,0.046555418553289984,0.0472717401391031,0.022493969128549608,0.22518562489451327,0.21576743362956063,0.21566599999999997,50,-0.1202269306543367
