scope,steps,mae,rmse,max_abs,mean_error,mean_reward,mean_sigma,train_updates
all,100000,0.042021564623513585,0.09307443810480799,1.5062732094468254,0.004721523262879807,-0.050483838731724254,0.018478299999999996,99737
first_5000_exploration_decay,5000,0.23073721364718025,0.32421862911329136,1.5062732094468254,-0.01928775063244374,-0.35619811576997934,0.179966,4937
post_decay_training,94800,0.03214564473917842,0.05993537140997786,0.9112597078784744,0.0059989523801960406,-0.034477040171004496,0.01,94800
last_100_training_cycles,20000,0.027506666210435186,0.04350220430381614,0.4184603253311278,-0.0022258130738633804,-0.028020782332707824,0.01,20000
last_20_training_cycles,4000,0.028995857457005735,0.03774907772437154,0.3531633236705298,-0.019942627165145953,-0.029238288387778765,0.01,4000
final_eval_cycle_all,200,0.005316364206716415,0.027506763380550296,0.3461122540174379,-0.000548030961926292,0.005150569443486396,0.0,0
final_eval_after_first_10,190,0.0019333795471919298,0.0019333805595401683,0.0019335391395038,-0.0019333795471919298,0.009894650054064922,0.0,0
final_eval_last_100,100,0.0019335391395038002,0.0019335391395038002,0.0019335391395038,-0.0019335391395038002,0.0098932711714183,0.0,0
