flow,mean,min,max,p05,p95,lower_bound,upper_bound,lower_saturation_fraction,upper_saturation_fraction,mean_abs_step_change,max_abs_step_change
acid,7.262453857660294,2.5471436977386475,10.0,4.858367872238159,9.37159032821655,1.0,10.0,0.0,0.025,1.0804429953802805,7.4528563022613525
acetate,7.982919578154882,1.0,10.0,4.565321397781372,10.0,1.0,10.0,0.0016666666666666668,0.058333333333333334,1.0265127621429393,6.69703483581543
water,5.0,5.0,5.0,5.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0
