sample_index,utc_time,utc_datetime,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,elapsed_s,elapsed_min,elapsed_h,dt_s,session_id,trial_id,total_flow,valid_for_model,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,trial_n_model_valid,trial_ph_min,trial_ph_max,trial_log10_ratio_min,trial_log10_ratio_max,trial_total_flow_min,trial_total_flow_max,trial_n_total,trial_ph_range,trial_log10_flow_ratio_range,trial_total_flow_range,uninformative_flat_ph_trial,valid_for_model_before_flat_trial_filter,acid_flow_in_bounds,acetate_flow_in_bounds,water_flow_in_bounds,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance
417,2026-05-14T16:26:02.964Z,2026-05-14 16:26:02.964000+00:00,1,0,4.528273582458496,1.0,1.0,1.0,247195.157,4119.919283333334,68.6653213888889,79249.667,4,16,3.0,True,1.0,0.0,2,4.528273582458496,4.8585357666015625,0.0,0.4689278396091642,3.0,12.81880259513855,2,0.3302621841430664,0.4689278396091642,9.81880259513855,False,True,True,True,True,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,4.760452344018065
418,2026-05-14T16:27:14.194Z,2026-05-14 16:27:14.194000+00:00,1,1,4.8585357666015625,2.402804374694824,7.073693752288818,3.3423044681549072,247266.387,4121.10645,68.6851075,71.23,4,16,12.81880259513855,True,2.9439324427679368,0.4689278396091642,2,4.528273582458496,4.8585357666015625,0.0,0.4689278396091642,3.0,12.81880259513855,2,0.3302621841430664,0.4689278396091642,9.81880259513855,False,True,True,True,True,0.018744374576811666,0.055182172436070376,0.07392654701288204,0.055182172436070376,5.229110954757021
419,2026-05-14T16:30:09.975Z,2026-05-14 16:30:09.975000+00:00,1,0,4.743853569030762,2.828554153442383,7.536417961120605,1.0917634963989258,247442.168,4124.036133333333,68.73393555555555,175.781,4,17,11.456735610961914,True,2.664406460787996,0.4256004780853969,10,3.775122643,4.743853569030762,-0.803373011775394,0.4256004780853969,9.417391538619995,22.022257804870605,10,0.9687309260307617,1.228973489860791,12.60486626625061,False,True,True,True,True,0.02468900609643113,0.0657815473537653,0.09047055345019643,0.0657815473537653,5.185758187775915
420,2026-05-14T16:31:21.440Z,2026-05-14 16:31:21.440000+00:00,1,1,4.651226043701172,3.845787525177002,7.536779880523682,7.259095191955566,247513.633,4125.227216666667,68.75378694444446,71.465,4,17,18.64166259765625,True,1.9597494222400658,0.29220054508331283,10,3.775122643,4.743853569030762,-0.803373011775394,0.4256004780853969,9.417391538619995,22.022257804870605,10,0.9687309260307617,1.228973489860791,12.60486626625061,False,True,True,True,True,0.020630067221903907,0.040429762318899894,0.0610598295408038,0.040429762318899894,5.0524822837003525
421,2026-05-14T16:32:31.525Z,2026-05-14 16:32:31.525000+00:00,1,2,4.674934387207031,3.115859031677246,6.701409339904785,1.469370722770691,247583.718,4126.3953,68.773255,70.085,4,17,11.286639094352722,True,2.150742145833684,0.33258834560165973,10,3.775122643,4.743853569030762,-0.803373011775394,0.4256004780853969,9.417391538619995,22.022257804870605,10,0.9687309260307617,1.228973489860791,12.60486626625061,False,True,True,True,True,0.027606615269874877,0.05937471096473565,0.08698132623461052,0.05937471096473565,5.092774467673006
422,2026-05-14T16:33:41.741Z,2026-05-14 16:33:41.741000+00:00,1,3,3.775122643,7.888556957244873,1.240579367,8.465868949890137,247653.934,4127.565566666667,68.79275944444446,70.216,4,17,17.595005274135012,True,0.15726315645862815,-0.803373011775394,10,3.775122643,4.743853569030762,-0.803373011775394,0.4256004780853969,9.417391538619995,22.022257804870605,10,0.9687309260307617,1.228973489860791,12.60486626625061,False,True,True,True,True,0.0448340698643677,0.007050747343757123,0.05188481720812482,0.007050747343757123,3.964315948998733
423,2026-05-14T16:34:51.276Z,2026-05-14 16:34:51.276000+00:00,1,4,4.553084373474121,3.698712348937988,6.169853210449219,4.8211445808410645,247723.469,4128.724483333333,68.81207472222222,69.535,4,17,14.689710140228271,True,1.6681084194667828,0.2222242743868124,10,3.775122643,4.743853569030762,-0.803373011775394,0.4256004780853969,9.417391538619995,22.022257804870605,10,0.9687309260307617,1.228973489860791,12.60486626625061,False,True,True,True,True,0.025178933509443037,0.04200119098029624,0.06718012448973928,0.04200119098029624,4.982511504018605
424,2026-05-14T16:36:00.957Z,2026-05-14 16:36:00.957000+00:00,1,5,4.22447681427002,8.578654289245605,5.017170906066895,8.426432609558105,247793.15,4129.885833333333,68.83143055555554,69.681,4,17,22.022257804870605,True,0.5848435823269547,-0.23296027138048006,10,3.775122643,4.743853569030762,-0.803373011775394,0.4256004780853969,9.417391538619995,22.022257804870605,10,0.9687309260307617,1.228973489860791,12.60486626625061,False,True,True,True,True,0.038954472176546254,0.022782273055386996,0.061736745231933246,0.022782273055386996,4.5279353366868484
425,2026-05-14T16:37:10.634Z,2026-05-14 16:37:10.634000+00:00,1,6,4.508424758911133,1.864347219467163,3.314729690551758,4.238314628601074,247862.827,4131.047116666667,68.85078527777777,69.677,4,17,9.417391538619995,True,1.7779572688713634,0.24992131899843603,10,3.775122643,4.743853569030762,-0.803373011775394,0.4256004780853969,9.417391538619995,22.022257804870605,10,0.9687309260307617,1.228973489860791,12.60486626625061,False,True,True,True,True,0.019796853638522082,0.035197959827392836,0.05499481346591492,0.035197959827392836,5.010256082159601
426,2026-05-14T16:38:20.219Z,2026-05-14 16:38:20.219000+00:00,1,7,4.606566429138184,2.9277288913726807,5.652953147888184,1.9975014925003047,247932.412,4132.206866666666,68.87011444444444,69.585,4,17,10.57818353176117,True,1.930832176621985,0.2857445275678978,10,3.775122643,4.743853569030762,-0.803373011775394,0.4256004780853969,9.417391538619995,22.022257804870605,10,0.9687309260307617,1.228973489860791,12.60486626625061,False,True,True,True,True,0.027677047600678573,0.05343973406128849,0.08111678166196706,0.05343973406128849,5.045958783378884
