sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,valid_for_model,uninformative_flat_ph_trial,total_buffer_mol_l,ph_equilibrium_charge_balance,cumulative_transport_volume_ml,transport_delayed_volume_coordinate_ml,theta_transport_s,ph_equilibrium_transport_delayed,prediction_equilibrium_baseline,residual_equilibrium_baseline,prediction_static_calibrated,residual_static_calibrated,prediction_transport_delay_calibrated,residual_transport_delay_calibrated,prediction_transport_delay_dynamic,residual_transport_delay_dynamic
417,2026-05-14T16:26:02.964Z,2026-05-14 16:26:02.964000+00:00,4119.919283333334,68.6653213888889,79249.667,4,16,train,1,0,4.528273582458496,1.0,1.0,1.0,3.0,True,False,0.06666666666666667,4.760452344018065,0.0,-0.46727071856698704,9.345414371339741,,4.760452344018065,-0.23217876155956851,4.336032530611465,0.19224105184703077,,,,
418,2026-05-14T16:27:14.194Z,2026-05-14 16:27:14.194000+00:00,4121.10645,68.6851075,71.23,4,16,train,1,1,4.8585357666015625,2.402804374694824,7.073693752288818,3.3423044681549072,12.81880259513855,True,False,0.07392654701288204,5.229110954757021,3.5615,3.0942292814330132,2.1871187192360533,5.167622692563396,5.229110954757021,-0.37057518815545887,4.724003363465214,0.1345324031363484,4.682571701992204,0.17596406460935832,4.682571701992204,0.17596406460935832
419,2026-05-14T16:30:09.975Z,2026-05-14 16:30:09.975000+00:00,4124.036133333333,68.73393555555555,175.781,4,17,train,1,0,4.743853569030762,2.828554153442383,7.536417961120605,1.0917634963989258,11.456735610961914,True,False,0.09047055345019643,5.185758187775915,0.0,-0.46727071856698704,2.4471406224294707,,5.185758187775915,-0.44190461874515297,4.688114533671488,0.055739035359273714,,,,
420,2026-05-14T16:31:21.440Z,2026-05-14 16:31:21.440000+00:00,4125.227216666667,68.75378694444446,71.465,4,17,train,1,1,4.651226043701172,3.845787525177002,7.536779880523682,7.259095191955566,18.64166259765625,True,False,0.0610598295408038,5.0524822837003525,13.64592684062322,13.178656122056234,1.5039561502172085,5.057045984516897,5.0524822837003525,-0.4012562399991806,4.577784407821452,0.0734416358797203,4.5881773718194605,0.06304867188171137,4.5881773718194605,0.06304867188171137
421,2026-05-14T16:32:31.525Z,2026-05-14 16:32:31.525000+00:00,4126.3953,68.773255,70.085,4,17,train,1,2,4.674934387207031,3.115859031677246,6.701409339904785,1.469370722770691,11.286639094352722,True,False,0.08698132623461052,5.092774467673006,35.420942226568854,34.95367150800187,2.4840205201606187,5.091909836469591,5.092774467673006,-0.4178400804659743,4.611139587509111,0.06379479969792001,4.617939064046112,0.05699532316091904,4.617692691495501,0.05724169571153048
422,2026-05-14T16:33:41.741Z,2026-05-14 16:33:41.741000+00:00,4127.565566666667,68.79275944444446,70.216,4,17,train,1,3,3.775122643,7.888556957244873,1.240579367,8.465868949890137,17.595005274135012,True,False,0.05188481720812482,3.964315948998733,48.6293197373867,48.162049018819715,1.5934205575506717,4.004237250647032,3.964315948998733,-0.18919330599873296,3.676964942471329,0.09815770052867112,3.6894422133096754,0.08568042969032463,3.697057884223862,0.07806475877613783
423,2026-05-14T16:34:51.276Z,2026-05-14 16:34:51.276000+00:00,4128.724483333333,68.81207472222222,69.535,4,17,train,1,4,4.553084373474121,3.698712348937988,6.169853210449219,4.8211445808410645,14.689710140228271,True,False,0.06718012448973928,4.982511504018605,69.02046459966967,68.55319388110267,1.9085633988951909,4.959179171682726,4.982511504018605,-0.4294271305444841,4.519860321831119,0.03322405164300246,4.504632903849423,0.04845146962469826,4.497691348050304,0.0553930254238173
424,2026-05-14T16:36:00.957Z,2026-05-14 16:36:00.957000+00:00,4129.885833333333,68.83143055555554,69.681,4,17,train,1,5,4.22447681427002,8.578654289245605,5.017170906066895,8.426432609558105,22.022257804870605,True,False,0.061736745231933246,4.5279353366868484,86.08035947102377,85.61308875245678,1.2730866817760402,4.540386183187034,4.5279353366868484,-0.303458522416828,4.1435473934138045,0.0809294208562159,4.147128287113421,0.07734852715659901,4.150111627230278,0.07436518703974215
425,2026-05-14T16:37:10.634Z,2026-05-14 16:37:10.634000+00:00,4131.047116666667,68.85078527777777,69.677,4,17,train,1,6,4.508424758911133,1.864347219467163,3.314729690551758,4.238314628601074,9.417391538619995,True,False,0.05499481346591492,5.010256082159601,111.65444042218992,111.18716970362293,2.9770709860628344,5.001443473732062,5.010256082159601,-0.5018313232484681,4.542828185520992,-0.03440342660985962,4.5407120253266875,-0.03228726641555468,4.537387052286489,-0.02896229337535594
426,2026-05-14T16:38:20.219Z,2026-05-14 16:38:20.219000+00:00,4132.206866666666,68.87011444444444,69.585,4,17,train,1,7,4.606566429138184,2.9277288913726807,5.652953147888184,1.9975014925003047,10.57818353176117,True,False,0.08111678166196706,5.045958783378884,122.57626025910446,122.10898954053746,2.650383502029431,5.044431306538703,5.045958783378884,-0.43939235424070056,4.572384042193152,0.03418238694503195,4.577408792259327,0.029157636878856863,4.5770659577566875,0.02950047138149614
