trial_id,session_id,split,n_total,n_model_valid,start_time,end_time,max_cumulative_volume_ml,median_theta_transport_s,static_rmse,transport_delay_rmse,transport_dynamic_rmse
16,4,train,2,2,2026-05-14 16:26:02.964000+00:00,2026-05-14 16:27:14.194000+00:00,3.5615,5.766266545287897,0.16591502269067399,0.17596406460935832,0.17596406460935832
17,4,train,10,10,2026-05-14 16:30:09.975000+00:00,2026-05-14 16:40:39.613000+00:00,159.49939245487673,2.1778520106623307,0.061317862777580424,0.05708153861594537,0.05551744070069453
18,4,train,10,10,2026-05-14 16:41:49.706000+00:00,2026-05-14 16:52:19.842000+00:00,174.910049512363,1.6936339104130598,0.053960329902703594,0.051746087327206536,0.04904261660800838
19,4,train,10,10,2026-05-14 16:53:29.733000+00:00,2026-05-14 17:04:00.514000+00:00,179.95543832546804,1.703496763646838,0.04715377584317897,0.04909636522917478,0.046548939363444126
20,4,train,10,10,2026-05-14 17:05:10.631000+00:00,2026-05-14 17:15:40.800000+00:00,177.05611333378246,1.6370525263042703,0.035227580898230616,0.03308744114541204,0.034441228227614744
21,4,train,10,10,2026-05-14 17:16:50.776000+00:00,2026-05-14 17:27:21.085000+00:00,197.7256800477199,1.5544410472446462,0.02893579921618266,0.023293116496481657,0.02304730634196212
22,4,train,10,10,2026-05-14 17:28:31.023000+00:00,2026-05-14 17:39:01.618000+00:00,152.375053948129,1.7911795264512704,0.06735295653906193,0.05874862942426249,0.05837635855522082
23,4,train,10,10,2026-05-14 17:40:11.882000+00:00,2026-05-14 17:50:43.358000+00:00,196.5012050814702,1.5529226030262224,0.029002580475331694,0.020627580613453118,0.019837803952488804
24,4,train,10,10,2026-05-14 17:51:53.349000+00:00,2026-05-14 18:02:24.033000+00:00,140.90579216200567,1.8613985085922988,0.05143381166891844,0.05769726463434836,0.058673070390988256
25,4,train,10,10,2026-05-14 18:03:34.065000+00:00,2026-05-14 18:14:04.628000+00:00,167.27129704215338,1.9755874159383016,0.06251026473066586,0.06469228093852619,0.0640099307445808
26,4,train,10,10,2026-05-14 18:15:14.837000+00:00,2026-05-14 18:25:44.101000+00:00,188.59541350985626,1.561740573699359,0.038714798711690306,0.03763906648063834,0.03957865904572182
27,4,train,10,10,2026-05-14 18:26:53.644000+00:00,2026-05-14 18:37:24.197000+00:00,173.1597746822942,1.973620220496504,0.08675905588863837,0.05962181574278754,0.059242254445105315
28,4,train,10,10,2026-05-14 18:38:34.262000+00:00,2026-05-14 18:49:04.302000+00:00,143.14816308880583,2.155087391989457,0.06891384681622778,0.07090444863816252,0.07104141530163804
29,4,train,10,10,2026-05-14 18:50:14.380000+00:00,2026-05-14 19:00:44.736000+00:00,193.73887052175928,1.5389945556886895,0.06220710911503922,0.06375039038569617,0.06112290112434401
30,4,train,10,10,2026-05-14 19:01:54.826000+00:00,2026-05-14 19:12:25.897000+00:00,173.19621231509987,1.7008222399579975,0.042845204631484814,0.04042482812620233,0.039839400173182195
31,4,train,10,10,2026-05-14 19:13:36.465000+00:00,2026-05-14 19:24:07.686000+00:00,158.72892834693343,1.8534354560424104,0.05861104060495182,0.06273718376116587,0.06250368688891768
32,4,train,9,9,2026-05-14 19:25:18.011000+00:00,2026-05-14 19:34:39.008000+00:00,159.99646762208747,1.7609049793636564,0.055615203082190215,0.054920092062899224,0.05350251155290037
33,5,train,10,0,2026-05-14 22:05:44.519000+00:00,2026-05-14 22:16:10.351000+00:00,160.06941533430665,,,,
34,5,train,1,1,2026-05-14 22:17:19.747000+00:00,2026-05-14 22:17:19.747000+00:00,0.0,4.009309712194064,0.0018479699724700538,,
35,5,train,10,10,2026-05-14 22:22:00.127000+00:00,2026-05-14 22:32:24.746000+00:00,162.87448718812067,1.6526997070184515,0.052246822265075654,0.05594501543172186,0.05624193978815618
36,5,train,10,10,2026-05-14 22:33:34.101000+00:00,2026-05-14 22:43:56.616000+00:00,203.22956820979695,1.3203364222312837,0.06602002977377099,0.0643011443835369,0.0642790312605433
37,5,train,10,10,2026-05-14 22:45:05.820000+00:00,2026-05-14 22:55:28.025000+00:00,175.61333395513765,1.7102835886110226,0.04554751653595007,0.043605158813844566,0.042514350441124685
38,5,train,10,10,2026-05-14 22:56:37.104000+00:00,2026-05-14 23:06:59.332000+00:00,163.17303374352286,1.7670814721387922,0.0546479827679102,0.052544640286823645,0.052462947655510295
39,5,train,10,10,2026-05-14 23:08:08.487000+00:00,2026-05-14 23:18:31.133000+00:00,189.41643362463236,1.5397429257884772,0.048457609554075055,0.04589438256507404,0.04562486156366534
40,5,train,10,10,2026-05-14 23:19:40.400000+00:00,2026-05-14 23:30:02.840000+00:00,159.5308152868264,1.9351639890714796,0.04863423817325287,0.05102789735526895,0.05158627293271592
41,5,train,10,10,2026-05-14 23:31:11.920000+00:00,2026-05-14 23:41:34.393000+00:00,140.40457080013633,2.057218960453291,0.045775092569980115,0.0461304477563742,0.04551056189489267
42,5,train,10,10,2026-05-14 23:42:43.586000+00:00,2026-05-14 23:53:05.526000+00:00,181.82263106683664,1.6166973528261983,0.04491615704269749,0.04055053727021962,0.04113686672464526
43,5,train,10,10,2026-05-14 23:54:14.552000+00:00,2026-05-15 00:04:35.973000+00:00,179.93637423141712,1.468994939834257,0.039263913638983,0.039714045619471866,0.03939273475110203
44,5,train,10,10,2026-05-15 00:05:45.242000+00:00,2026-05-15 00:16:07.219000+00:00,164.6202452019761,1.5849026292357116,0.038029786321194,0.04322383728754544,0.0424058949826311
45,5,train,10,10,2026-05-15 00:17:16.406000+00:00,2026-05-15 00:27:38.423000+00:00,168.90794464739548,1.7384086449861185,0.050034189240951196,0.04335042184357768,0.04274900567368899
46,5,train,10,10,2026-05-15 00:28:47.722000+00:00,2026-05-15 00:39:09.675000+00:00,168.60247508465577,1.8551269254234883,0.046901639630217665,0.046019487213752534,0.04679978694350844
47,5,train,10,10,2026-05-15 00:40:18.755000+00:00,2026-05-15 00:50:42.103000+00:00,190.95299245637332,1.7902368886122515,0.04818731176025549,0.04988473473232505,0.04987775337743397
48,5,train,10,10,2026-05-15 00:51:51.001000+00:00,2026-05-15 01:02:13.913000+00:00,154.3809964062142,1.902066857717791,0.1374044193554287,0.14580754859996609,0.1469324068239125
49,5,train,10,10,2026-05-15 01:03:23.439000+00:00,2026-05-15 01:13:46.234000+00:00,150.63273133968386,2.0252109366510136,0.054480443657275626,0.05812750405392706,0.05938411813070114
50,5,train,10,10,2026-05-15 01:14:55.539000+00:00,2026-05-15 01:25:17.755000+00:00,151.3744699811456,2.0143213512047797,0.07182649430863605,0.0751413977494471,0.07498570619572525
51,5,train,10,10,2026-05-15 01:26:27.126000+00:00,2026-05-15 01:36:49.895000+00:00,193.50362075494772,1.5883550336901413,0.047972638769104514,0.05144989502347791,0.051247184602758546
