flow,mean,min,max,p05,p95,lower_bound,upper_bound,lower_saturation_fraction,upper_saturation_fraction,mean_abs_step_change,max_abs_step_change
acid,5.13516268465254,2.986391544342041,7.805861473083496,3.595954835414886,6.285995721817014,1.0,10.0,0.0,0.0,0.6774966857012581,1.9025378227233887
acetate,5.963144262631734,3.4733831882476807,8.227521896362305,3.6902850747108458,8.049273157119751,1.0,10.0,0.0,0.0,1.3742700745077694,3.724606990814209
water,5.0,5.0,5.0,5.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0
