_id,utc_time,episode_number,step_number,target_ph,observation.utc_time,observation.biosmb-sensors.P_1,observation.biosmb-sensors.P_2,observation.biosmb-sensors.P_3,observation.biosmb-sensors.P_4,observation.biosmb-sensors.P_5,observation.biosmb-sensors.P_6,observation.biosmb-sensors.P_7,observation.biosmb-sensors.PH_1,observation.biosmb-sensors.PH_2,observation.biosmb-sensors.COND_1,observation.biosmb-sensors.COND_2,observation.biosmb-sensors.COND_3,observation.biosmb-sensors.COND_4,observation.biosmb-sensors.UV_1A,observation.biosmb-sensors.UV_1B,observation.biosmb-sensors.UV_1C,observation.biosmb-sensors.UV_2A,observation.biosmb-sensors.UV_2B,observation.biosmb-sensors.UV_2C,observation.biosmb-sensors.UV_3A,observation.biosmb-sensors.UV_3B,observation.biosmb-sensors.UV_3C,observation.biosmb-sensors.UV_4A,observation.biosmb-sensors.UV_4B,observation.biosmb-sensors.UV_4C,observation.biosmb-flows[0],observation.biosmb-flows[1],observation.biosmb-flows[2],observation.biosmb-flows[3],observation.biosmb-flows[4],observation.biosmb-flows[5],observation.biosmb-flows[6],observation.mfcs-mass.acid-mass-grams,observation.mfcs-mass.sodium-mass-grams,observation.mfcs-mass.water-mass-grams
6a02328ee3a46fc284e5c48a,2026-05-11T19:46:07.807Z,1,0,4.7,2026-05-11T19:46:07.807Z,0.5147764682769775,0.48564720153808594,0.7183353900909424,-0.025031328,0.013466119766235352,0.16411972045898438,0.080797315,1.958831787109375,4.4141435623168945,0.2349088191986084,-0.102289677,1.9239434003829956,2.079235792160034,0,0,0,0,0,0,0.010825973004102707,0.13418637216091156,0.006631267,0,0,0,8.549332618713379,3.9262027740478516,4.3504838943481445,0,0,0,0,2912.42,2948.33,2939.09
6a02331be3a46fc284e5c503,2026-05-11T19:48:30.329Z,1,1,4.7,2026-05-11T19:48:30.329Z,0.6438982486724854,0.6340157985687256,0.8921124935150146,-0.025031328,0.011783003807067871,0.16454052925109863,0.080797315,2.346618652,4.619248390197754,0.23490770161151886,-0.102383852,2.3422961235046387,2.532114028930664,0,0,0,0,0,0.022158304,0.010504943318665028,0.13113373517990112,0.010535920038819313,0,0,0,7.116000175476074,6.0976481437683105,7.160530090332031,0,0,0,0,2892.33,2933.49,2919.7000000000003
6a0233a8e3a46fc284e5c57c,2026-05-11T19:50:50.952Z,1,2,4.7,2026-05-11T19:50:50.952Z,0.8482694625854492,0.8531177043914795,1.1046018600463867,-0.025031328,0.011362075805664062,0.16411972045898438,0.080376506,1.907806396484375,4.845854759216309,0.2348855882883072,-0.102148533,2.9286680221557617,3.208657741546631,0,0,0,0,0,0,0,0.1134592741727829,0.062871084,0,0,0,6.221703052520752,9.732967376708984,8.711876869,0,0,0,0,2874.9,2910.39,2896.8799999999997
6a023435e3a46fc284e5c5f5,2026-05-11T19:53:12.043Z,1,3,4.7,2026-05-11T19:53:12.043Z,0.3642771244049072,0.3588442802429199,0.5505802631378174,-0.026757479,0.011783003807067871,0.16411972045898438,0.079955697,1.856781005859375,4.805054664611816,0.2349037528038025,-0.102146983,3.0817625522613525,3.3776986598968506,0,0,0,0,0,0,0,0.064968877,0.098011814,0,0,0,4.207277774810791,5.855237007141113,3.0271997451782227,0,0,0,0,2862.09,2895.41,2886.3799999999997
6a0234c2e3a46fc284e5c66e,2026-05-11T19:55:33.210Z,1,4,4.7,2026-05-11T19:55:33.210Z,0.3617115020751953,0.39507365226745605,0.6107997894287109,-0.028483629,0.010941267013549805,0.16327810287475586,0.079955697,2.009857177734375,4.993066787719727,0.23493903875350952,-0.102579713,3.2107625007629395,3.5404653549194336,0,0,0,0,0,0,0.025594936683773994,0.15397663414478302,0.074232861,0,0,0,2.5869803428649902,6.577486038208008,4.8657331466674805,0,0,0,0,2853.41,2879.52,2872.59
6a023550e3a46fc284e5c6e7,2026-05-11T19:57:54.609Z,1,5,4.7,2026-05-11T19:57:54.609Z,0.7610485553741455,0.7565059661865234,1.0065298080444336,-0.027620554,0.011362075805664062,0.16327810287475586,0.079955697,2.5915374755859375,4.670523643493652,0.23496489226818085,-0.102331758,2.469970226287842,2.729771852493286,0,0,0,0,0,0,0.021539214998483658,0.096358351,0.076567687,0,0,0,7.768003463745117,7.414762974,7.852952003479004,0,0,0,0,2832.83,2861.1800000000003,2851.52
6a0235dde3a46fc284e5c760,2026-05-11T20:00:15.871Z,1,6,4.7,2026-05-11T20:00:15.871Z,0.7268438339233398,0.7202761173248291,0.8714654445648193,-0.028483629,0.011362075805664062,0.16411972045898438,0.080376506,2.1833343505859375,4.743302345275879,0.23483912646770477,-0.101638615,3.238990545272827,3.582862138748169,0,0,0,0,0,0,0.02669959,0.12333308160305023,0.027151929,0,0,0,8.820981979370117,9.993937492370605,3.0263543128967285,0,0,0,0,2809.3799999999997,2836.89,2841.3700000000003
6a02366ae3a46fc284e5c7d9,2026-05-11T20:02:37.094Z,1,7,4.7,2026-05-11T20:02:37.094Z,0.3591463565826416,0.37523365020751953,0.5505802631378174,-0.027620554,0.010941267013549805,0.16411972045898438,0.079955697,2.7649993896484375,4.902092933654785,0.23495224118232727,-0.102413654,3.6250991821289062,4.032887935638428,0,0,0,0,0,0,0.044829566,0.11944377422332764,0.059736330062150955,0,0,0,3.8793654441833496,7.435241699,2.0945754051208496,0,0,0,0,2797.1299999999997,2818.48,2833.81
6a0236f7e3a46fc284e5c852,2026-05-11T20:04:58.331Z,1,8,4.7,2026-05-11T20:04:58.331Z,0.45064330101013184,0.44855546951293945,0.6641373634338379,-0.025031328,0.011362075805664062,0.16454052925109863,0.080376506,2.5200958251953125,4.618697166442871,0.23496265709400177,-0.103088439,2.324183702468872,2.578314781188965,0,0,0,0,0,0,0,0.17132408916950226,0.052101098001003265,0,0,0,5.235406398773193,4.867502212524414,5.546240329742432,0,0,0,0,2782.22,2806.09,2818.48
6a023784e3a46fc284e5c8cb,2026-05-11T20:07:19.569Z,1,9,4.7,2026-05-11T20:07:19.569Z,0.5695035457611084,0.6072750091552734,0.8344733715057373,-0.024168015,0.011783003807067871,0.16411972045898438,0.080797315,2.234375,5.189899444580078,0.23494058847427368,-0.102960289,3.1167893409729004,3.4795024394989014,0,0,0,0,0,0,0.013975356,0.14736191928386688,0,0,0,0,1.6605889797210693,8.562686920166016,9.065704345703125,0,0,0,0,2775.5,2785.58,2795.03
