sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,water_fraction,valid_for_model,valid_for_model_before_flat_trial_filter,uninformative_flat_ph_trial,trial_ph_range,trial_log10_flow_ratio_range,trial_total_flow_range,flow_ratio_acetate_acid,log10_molar_base_acid_ratio,total_buffer_mol_l,ph_henderson_hasselbalch,ph_equilibrium_charge_balance,prediction_hh_raw,residual_hh_raw,prediction_equilibrium_raw,residual_equilibrium_raw,prediction_equilibrium_bias,residual_equilibrium_bias,prediction_hh_effective_pka,residual_hh_effective_pka,prediction_hh_affine,residual_hh_affine,prediction_equilibrium_affine,residual_equilibrium_affine
801,2026-05-15T02:26:29.489Z,2026-05-15 02:26:29.489000+00:00,4720.361366666666,78.67268944444443,69.392,5,56,train,22,2,3.955415725708008,8.799474716186523,3.079986810684204,1.363316774368286,13.242778301239014,0.10294794214298159,True,True,False,0.9196596145629883,1.0966454691073688,8.200482487289367,0.3500193943416426,-0.45590789101487067,0.08970520578570185,4.304092108985129,4.305339244015244,4.304092108985129,-0.34867638327712136,4.305339244015244,-0.3499235183072358,3.962296987125859,-0.006881261417851281,3.961881574050695,-0.006465848342687153,4.0623950741198644,-0.10697934841185663,4.0618637965719415,-0.10644807086393371
802,2026-05-15T02:27:38.613Z,2026-05-15 02:27:38.613000+00:00,4721.513433333333,78.69189055555555,69.124,5,56,train,22,3,4.860740661621094,2.323538303375244,9.705660820007324,7.815519332885742,19.84471845626831,0.39383372206104894,True,True,False,0.9196596145629883,1.0966454691073688,8.200482487289367,4.177103861773476,0.6208752739326623,0.06061662779389511,5.380875273932662,5.381066361359007,5.380875273932662,-0.5201346123115682,5.381066361359007,-0.5203256997379135,5.038024104469623,-0.17728344284852948,5.038664738998228,-0.177924077377134,4.912094369863869,-0.0513537082427753,4.912670417830995,-0.05192975620990126
803,2026-05-15T02:28:48.073Z,2026-05-15 02:28:48.073000+00:00,4722.6711000000005,78.71118500000001,69.46,5,56,train,22,4,4.521106719970703,6.110586643218994,8.579456329345703,3.4469263553619385,18.136969327926636,0.19004974276791042,True,True,False,0.9196596145629883,1.0966454691073688,8.200482487289367,1.4040315325315695,0.1473768615335882,0.08099502572320896,4.907376861533588,4.907649863720614,4.907376861533588,-0.38627014156288464,4.907649863720614,-0.38654314374991117,4.56460760683123,-0.04350088686052711,4.565166326599154,-0.04405960662845043,4.5384525070929165,-0.017345787122213352,4.53823912916125,-0.017132409190546483
804,2026-05-15T02:29:57.291Z,2026-05-15 02:29:57.291000+00:00,4723.824733333333,78.73041222222221,69.218,5,56,train,22,5,4.518900871276856,6.073631286621094,8.666069984436035,6.474480152130127,21.214181423187256,0.30519585097228746,True,True,False,0.9196596145629883,1.0966454691073688,8.200482487289367,1.4268350473505904,0.15437376837309388,0.06948041490277125,4.9143737683730935,4.914687771962931,4.9143737683730935,-0.3954728970962371,4.914687771962931,-0.39578690068607436,4.571645515073547,-0.052744643796690305,4.572163233438659,-0.05326236216180291,4.543973829312144,-0.025072958035287307,4.543805502673486,-0.024904631396629462
805,2026-05-15T02:31:06.589Z,2026-05-15 02:31:06.589000+00:00,4724.9797,78.74966166666667,69.298,5,56,train,22,6,4.096011161804199,7.492346764,3.755994319915772,1.7653578519821167,13.013698935897889,0.1356538107019236,True,True,False,0.9196596145629883,1.0966454691073688,8.200482487289367,0.50131079596622,-0.29989294254818727,0.08643461892980764,4.460107057451813,4.460888522841289,4.460107057451813,-0.3640958956476137,4.460888522841289,-0.3648773610370899,4.117846265951905,-0.02183510414770584,4.117896522517379,-0.02188536071317948,4.18550787542758,-0.08949671362338041,4.184889751968563,-0.08887859016436384
806,2026-05-15T02:32:15.855Z,2026-05-15 02:32:15.855000+00:00,4726.134133333334,78.76890222222224,69.266,5,56,train,22,7,4.387126922607422,6.396283149719238,6.580809593200684,3.4320688247680664,16.40916156768799,0.20915564824020663,True,True,False,0.9196596145629883,1.0966454691073688,8.200482487289367,1.0288490110838113,0.012351644476203204,0.07908443517597934,4.772351644476203,4.772722415734004,4.772351644476203,-0.38522472186878076,4.772722415734004,-0.3855954931265817,4.4296801588446195,-0.042553236237197645,4.430141109541768,-0.043014186934346554,4.431902891927888,-0.044775969320466125,4.431523249003782,-0.044396326396360486
807,2026-05-15T02:33:25.121Z,2026-05-15 02:33:25.121000+00:00,4727.288566666667,78.78814277777778,69.266,5,56,train,22,8,4.535442352294922,6.518930435180664,9.748445510864258,2.0227532386779785,18.2901291847229,0.11059261628220281,True,True,False,0.9196596145629883,1.0966454691073688,8.200482487289367,1.4954056662815258,0.17475902191059206,0.08894073837177972,4.934759021910592,4.934995178992444,4.934759021910592,-0.39931666961567025,4.934995178992444,-0.3995528266975219,4.59195292210306,-0.056510569808137845,4.592548486976158,-0.05710613468123604,4.5600600165207075,-0.024617664225785596,4.5598668960164135,-0.02442454372149161
808,2026-05-15T02:34:34.458Z,2026-05-15 02:34:34.458000+00:00,4728.444183333334,78.80740305555557,69.337,5,56,train,22,9,4.482511520385742,7.24512767791748,8.762523651123047,4.682413101196289,20.690064430236816,0.2263121565901617,True,True,False,0.9196596145629883,1.0966454691073688,8.200482487289367,1.2094367471025333,0.0825831599218217,0.07736878434098383,4.842583159921822,4.842908452246485,4.842583159921822,-0.3600716395360797,4.842908452246485,-0.36039693186074295,4.499866195357101,-0.017354674971358897,4.500372624987388,-0.017861104601645472,4.487323213452031,-0.004811693066288925,4.487034301595075,-0.0045227812093324715
809,2026-05-15T02:35:43.779Z,2026-05-15 02:35:43.779000+00:00,4729.599533333333,78.82665888888889,69.321,5,57,train,23,0,4.393743515014648,2.94284462928772,3.421968698501587,4.7456159591674805,11.110429286956787,0.4271316469057275,True,True,False,0.7945032119750977,0.9523257270318747,13.408149480507202,1.1628098420302375,0.06550869898533022,0.057286835309427256,4.82550869898533,4.825963980387517,4.82550869898533,-0.43176518397068175,4.825963980387517,-0.4322204653728683,4.482921723498133,-0.08917820848348423,4.483298164050896,-0.08955464903624755,4.473849602510452,-0.08010608749580328,4.473632697583319,-0.07988918256867095
810,2026-05-15T02:36:53.152Z,2026-05-15 02:36:53.152000+00:00,4730.755749999999,78.84592916666665,69.373,5,57,train,23,1,4.28953743,9.677569389343262,6.992137432098389,3.3433055877685547,20.013012409210205,0.1670565889535915,True,True,False,0.7945032119750977,0.9523257270318747,13.408149480507202,0.7225096665075825,-0.14115633807616362,0.08329434110464085,4.618843661923836,4.619357991603793,4.618843661923836,-0.32930623192383557,4.619357991603793,-0.3298205616037926,4.276315734714409,0.013221695285591473,4.276633126989402,0.012904303010598639,4.310768360007355,-0.021230930007354765,4.310225323710459,-0.020687893710459093
