sample_index,utc_time,utc_datetime,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,elapsed_s,elapsed_min,elapsed_h,dt_s,session_id,trial_id,total_flow,valid_for_model,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,trial_n_model_valid,trial_ph_min,trial_ph_max,trial_log10_ratio_min,trial_log10_ratio_max,trial_total_flow_min,trial_total_flow_max,trial_n_total,trial_ph_range,trial_log10_flow_ratio_range,trial_total_flow_range,uninformative_flat_ph_trial,valid_for_model_before_flat_trial_filter,acid_flow_in_bounds,acetate_flow_in_bounds,water_flow_in_bounds
779,2026-05-15T02:01:05.311Z,2026-05-15 02:01:05.311000+00:00,20,0,4.647918701171875,1.699917912483215,4.482192993164063,7.649719238,281697.504,4694.9584,78.24930666666667,69.111,5,54,13.831830143647279,True,2.6367114319164635,0.42106260215447405,10,3.915718078613281,4.696989059448242,-0.4719983629359244,0.4540860888384643,11.042330503658325,23.011853218078613,10,0.7812709808349614,0.9260844517743887,11.969522714420288,False,True,True,True,True
780,2026-05-15T02:02:14.720Z,2026-05-15 02:02:14.720000+00:00,20,1,4.433992385864258,6.208259105682373,6.989808082580566,9.438173294067385,281766.913,4696.115216666667,78.26858694444445,69.409,5,54,22.636240482330322,True,1.1258885886677712,0.051495417406363306,10,3.915718078613281,4.696989059448242,-0.4719983629359244,0.4540860888384643,11.042330503658325,23.011853218078613,10,0.7812709808349614,0.9260844517743887,11.969522714420288,False,True,True,True,True
781,2026-05-15T02:03:24.044Z,2026-05-15 02:03:24.044000+00:00,20,2,4.6605987548828125,2.584700584411621,5.920713424682617,3.195745944976806,281836.237,4697.270616666667,78.28784361111111,69.324,5,54,11.701159954071045,True,2.2906767075422794,0.3599637997795922,10,3.915718078613281,4.696989059448242,-0.4719983629359244,0.4540860888384643,11.042330503658325,23.011853218078613,10,0.7812709808349614,0.9260844517743887,11.969522714420288,False,True,True,True,True
782,2026-05-15T02:04:33.417Z,2026-05-15 02:04:33.417000+00:00,20,3,3.915718078613281,6.591556072235107,2.2232565879821777,6.6599531173706055,281905.61,4698.426833333333,78.30711388888888,69.373,5,54,15.47476577758789,True,0.3372885800588057,-0.4719983629359244,10,3.915718078613281,4.696989059448242,-0.4719983629359244,0.4540860888384643,11.042330503658325,23.011853218078613,10,0.7812709808349614,0.9260844517743887,11.969522714420288,False,True,True,True,True
783,2026-05-15T02:05:42.711Z,2026-05-15 02:05:42.711000+00:00,20,4,4.643507957458496,3.15656852722168,7.121514320373535,1.5559884309768677,281974.904,4699.581733333333,78.32636222222223,69.294,5,54,11.834071278572083,True,2.25609368494898,0.35335712989091506,10,3.915718078613281,4.696989059448242,-0.4719983629359244,0.4540860888384643,11.042330503658325,23.011853218078613,10,0.7812709808349614,0.9260844517743887,11.969522714420288,False,True,True,True,True
784,2026-05-15T02:06:51.820Z,2026-05-15 02:06:51.820000+00:00,20,5,4.416348457336426,8.734155654907227,9.325912475585938,4.951785087585449,282044.013,4700.73355,78.34555916666666,69.109,5,54,23.011853218078613,True,1.0677520351204455,0.02847040785885903,10,3.915718078613281,4.696989059448242,-0.4719983629359244,0.4540860888384643,11.042330503658325,23.011853218078613,10,0.7812709808349614,0.9260844517743887,11.969522714420288,False,True,True,True,True
785,2026-05-15T02:08:00.818Z,2026-05-15 02:08:00.818000+00:00,20,6,4.403116226196289,7.301874638,7.8912248611450195,3.389267444610596,282113.011,4701.883516666667,78.36472527777778,68.998,5,54,18.582366943755616,True,1.0807121804143223,0.03371004631093254,10,3.915718078613281,4.696989059448242,-0.4719983629359244,0.4540860888384643,11.042330503658325,23.011853218078613,10,0.7812709808349614,0.9260844517743887,11.969522714420288,False,True,True,True,True
786,2026-05-15T02:09:10.115Z,2026-05-15 02:09:10.115000+00:00,20,7,4.639097213745117,3.855590581893921,7.502263546,1.2616844177246094,282182.308,4703.038466666667,78.38397444444445,69.297,5,54,12.61953854561853,True,1.9458143666060055,0.2891014056115955,10,3.915718078613281,4.696989059448242,-0.4719983629359244,0.4540860888384643,11.042330503658325,23.011853218078613,10,0.7812709808349614,0.9260844517743887,11.969522714420288,False,True,True,True,True
787,2026-05-15T02:10:19.549Z,2026-05-15 02:10:19.549000+00:00,20,8,4.519452095031738,3.1253910064697266,5.0226240158081055,2.962446689605713,282251.742,4704.1957,78.40326166666667,69.434,5,54,11.110461711883545,True,1.607038609060756,0.20602631080230807,10,3.915718078613281,4.696989059448242,-0.4719983629359244,0.4540860888384643,11.042330503658325,23.011853218078613,10,0.7812709808349614,0.9260844517743887,11.969522714420288,False,True,True,True,True
788,2026-05-15T02:11:28.613Z,2026-05-15 02:11:28.613000+00:00,20,9,4.696989059448242,1.834064007,5.217957973480225,3.9903085231781006,282320.806,4705.346766666667,78.42244611111111,69.064,5,54,11.042330503658325,True,2.845025011976163,0.4540860888384643,10,3.915718078613281,4.696989059448242,-0.4719983629359244,0.4540860888384643,11.042330503658325,23.011853218078613,10,0.7812709808349614,0.9260844517743887,11.969522714420288,False,True,True,True,True
789,2026-05-15T02:12:37.991Z,2026-05-15 02:12:37.991000+00:00,21,0,4.343018531799316,3.730672836303711,3.6420857906341553,4.641317367553711,282390.184,4706.503066666667,78.44171777777778,69.378,5,55,12.014075994491577,True,0.9762544051551499,-0.010436993442164673,10,3.654927253723145,4.734480857849121,-0.8249423493005008,0.44595018516676205,12.014075994491577,21.21848726272583,10,1.0795536041259761,1.2708925344672628,9.204411268234253,False,True,True,True,True
790,2026-05-15T02:13:47.433Z,2026-05-15 02:13:47.433000+00:00,21,1,4.209589958190918,6.200974464416504,4.269618988037109,3.392470359802246,282459.626,4707.6604333333335,78.46100722222222,69.442,5,55,13.86306381225586,True,0.6885400048875818,-0.1620708217146896,10,3.654927253723145,4.734480857849121,-0.8249423493005008,0.44595018516676205,12.014075994491577,21.21848726272583,10,1.0795536041259761,1.2708925344672628,9.204411268234253,False,True,True,True,True
791,2026-05-15T02:14:56.581Z,2026-05-15 02:14:56.581000+00:00,21,2,4.206833839416504,4.79615593,3.6087708473205566,9.239061356,282528.774,4708.8129,78.480215,69.148,5,55,17.64398813332056,True,0.7524298417296362,-0.12353398845192695,10,3.654927253723145,4.734480857849121,-0.8249423493005008,0.44595018516676205,12.014075994491577,21.21848726272583,10,1.0795536041259761,1.2708925344672628,9.204411268234253,False,True,True,True,True
792,2026-05-15T02:16:05.727Z,2026-05-15 02:16:05.727000+00:00,21,3,4.223925590515137,8.564431190490723,5.561652660369873,7.092403411865234,282597.92,4709.965333333333,78.49942222222221,69.146,5,55,21.21848726272583,True,0.649389613468446,-0.18749466189020436,10,3.654927253723145,4.734480857849121,-0.8249423493005008,0.44595018516676205,12.014075994491577,21.21848726272583,10,1.0795536041259761,1.2708925344672628,9.204411268234253,False,True,True,True,True
793,2026-05-15T02:17:14.884Z,2026-05-15 02:17:14.884000+00:00,21,4,4.431235313415527,3.353492259979248,4.455084323883057,7.412999153137207,282667.077,4711.11795,78.5186325,69.157,5,55,15.221575736999512,True,1.328491011310885,0.12335862028089271,10,3.654927253723145,4.734480857849121,-0.8249423493005008,0.44595018516676205,12.014075994491577,21.21848726272583,10,1.0795536041259761,1.2708925344672628,9.204411268234253,False,True,True,True,True
794,2026-05-15T02:18:23.986Z,2026-05-15 02:18:23.986000+00:00,21,5,4.734480857849121,2.789015293121338,7.652313232421875,5.981151103973389,282736.179,4712.26965,78.5378275,69.102,5,55,16.4224796295166,True,2.7437329767588894,0.43834184305403684,10,3.654927253723145,4.734480857849121,-0.8249423493005008,0.44595018516676205,12.014075994491577,21.21848726272583,10,1.0795536041259761,1.2708925344672628,9.204411268234253,False,True,True,True,True
795,2026-05-15T02:19:33.424Z,2026-05-15 02:19:33.424000+00:00,21,6,4.573485374450684,4.891846656799316,7.821957111358643,4.368135452270508,282805.617,4713.42695,78.55711583333333,69.438,5,55,17.081939220428467,True,1.5989783940767404,0.20384259545565112,10,3.654927253723145,4.734480857849121,-0.8249423493005008,0.44595018516676205,12.014075994491577,21.21848726272583,10,1.0795536041259761,1.2708925344672628,9.204411268234253,False,True,True,True,True
796,2026-05-15T02:20:42.735Z,2026-05-15 02:20:42.735000+00:00,21,7,3.654927253723145,9.299343109,1.3915855884552002,2.318131685256958,282874.928,4714.582133333333,78.5763688888889,69.311,5,55,13.009060382712159,True,0.14964342880395598,-0.8249423493005008,10,3.654927253723145,4.734480857849121,-0.8249423493005008,0.44595018516676205,12.014075994491577,21.21848726272583,10,1.0795536041259761,1.2708925344672628,9.204411268234253,False,True,True,True,True
797,2026-05-15T02:21:52.209Z,2026-05-15 02:21:52.209000+00:00,21,8,4.590025901794434,1.5763221979141235,4.401443958282471,9.214725494384766,282944.402,4715.7400333333335,78.59566722222222,69.474,5,55,15.19249165058136,True,2.7922235467512313,0.44595018516676205,10,3.654927253723145,4.734480857849121,-0.8249423493005008,0.44595018516676205,12.014075994491577,21.21848726272583,10,1.0795536041259761,1.2708925344672628,9.204411268234253,False,True,True,True,True
798,2026-05-15T02:23:01.485Z,2026-05-15 02:23:01.485000+00:00,21,9,4.663907051086426,2.892158031463623,6.9125189781188965,5.556817054748535,283013.678,4716.894633333333,78.61491055555555,69.276,5,55,15.361494064331055,True,2.3900903418547657,0.3784143169429028,10,3.654927253723145,4.734480857849121,-0.8249423493005008,0.44595018516676205,12.014075994491577,21.21848726272583,10,1.0795536041259761,1.2708925344672628,9.204411268234253,False,True,True,True,True
799,2026-05-15T02:24:10.684Z,2026-05-15 02:24:10.684000+00:00,22,0,3.9410810470581055,8.688295364379883,2.9051220417022705,3.241466522216797,283082.877,4718.047949999999,78.63413249999999,69.199,5,56,14.83488392829895,True,0.3343719245103749,-0.4757701951747066,10,3.9410810470581055,4.860740661621094,-0.4757701951747066,0.6208752739326623,13.013698935897889,21.214181423187256,10,0.9196596145629883,1.0966454691073688,8.200482487289367,False,True,True,True,True
800,2026-05-15T02:25:20.097Z,2026-05-15 02:25:20.097000+00:00,22,1,4.344673156738281,8.505611419677734,7.630064487457275,1.2995209693908691,283152.29,4719.204833333333,78.65341388888889,69.413,5,56,17.43519687652588,True,0.897062434548223,-0.04717732949084075,10,3.9410810470581055,4.860740661621094,-0.4757701951747066,0.6208752739326623,13.013698935897889,21.214181423187256,10,0.9196596145629883,1.0966454691073688,8.200482487289367,False,True,True,True,True
801,2026-05-15T02:26:29.489Z,2026-05-15 02:26:29.489000+00:00,22,2,3.955415725708008,8.799474716186523,3.079986810684204,1.363316774368286,283221.682,4720.361366666666,78.67268944444443,69.392,5,56,13.242778301239014,True,0.3500193943416426,-0.45590789101487067,10,3.9410810470581055,4.860740661621094,-0.4757701951747066,0.6208752739326623,13.013698935897889,21.214181423187256,10,0.9196596145629883,1.0966454691073688,8.200482487289367,False,True,True,True,True
802,2026-05-15T02:27:38.613Z,2026-05-15 02:27:38.613000+00:00,22,3,4.860740661621094,2.323538303375244,9.705660820007324,7.815519332885742,283290.806,4721.513433333333,78.69189055555555,69.124,5,56,19.84471845626831,True,4.177103861773476,0.6208752739326623,10,3.9410810470581055,4.860740661621094,-0.4757701951747066,0.6208752739326623,13.013698935897889,21.214181423187256,10,0.9196596145629883,1.0966454691073688,8.200482487289367,False,True,True,True,True
803,2026-05-15T02:28:48.073Z,2026-05-15 02:28:48.073000+00:00,22,4,4.521106719970703,6.110586643218994,8.579456329345703,3.4469263553619385,283360.266,4722.6711000000005,78.71118500000001,69.46,5,56,18.136969327926636,True,1.4040315325315695,0.1473768615335882,10,3.9410810470581055,4.860740661621094,-0.4757701951747066,0.6208752739326623,13.013698935897889,21.214181423187256,10,0.9196596145629883,1.0966454691073688,8.200482487289367,False,True,True,True,True
804,2026-05-15T02:29:57.291Z,2026-05-15 02:29:57.291000+00:00,22,5,4.518900871276856,6.073631286621094,8.666069984436035,6.474480152130127,283429.484,4723.824733333333,78.73041222222221,69.218,5,56,21.214181423187256,True,1.4268350473505904,0.15437376837309388,10,3.9410810470581055,4.860740661621094,-0.4757701951747066,0.6208752739326623,13.013698935897889,21.214181423187256,10,0.9196596145629883,1.0966454691073688,8.200482487289367,False,True,True,True,True
805,2026-05-15T02:31:06.589Z,2026-05-15 02:31:06.589000+00:00,22,6,4.096011161804199,7.492346764,3.755994319915772,1.7653578519821167,283498.782,4724.9797,78.74966166666667,69.298,5,56,13.013698935897889,True,0.50131079596622,-0.29989294254818727,10,3.9410810470581055,4.860740661621094,-0.4757701951747066,0.6208752739326623,13.013698935897889,21.214181423187256,10,0.9196596145629883,1.0966454691073688,8.200482487289367,False,True,True,True,True
806,2026-05-15T02:32:15.855Z,2026-05-15 02:32:15.855000+00:00,22,7,4.387126922607422,6.396283149719238,6.580809593200684,3.4320688247680664,283568.048,4726.134133333334,78.76890222222224,69.266,5,56,16.40916156768799,True,1.0288490110838113,0.012351644476203204,10,3.9410810470581055,4.860740661621094,-0.4757701951747066,0.6208752739326623,13.013698935897889,21.214181423187256,10,0.9196596145629883,1.0966454691073688,8.200482487289367,False,True,True,True,True
807,2026-05-15T02:33:25.121Z,2026-05-15 02:33:25.121000+00:00,22,8,4.535442352294922,6.518930435180664,9.748445510864258,2.0227532386779785,283637.314,4727.288566666667,78.78814277777778,69.266,5,56,18.2901291847229,True,1.4954056662815258,0.17475902191059206,10,3.9410810470581055,4.860740661621094,-0.4757701951747066,0.6208752739326623,13.013698935897889,21.214181423187256,10,0.9196596145629883,1.0966454691073688,8.200482487289367,False,True,True,True,True
808,2026-05-15T02:34:34.458Z,2026-05-15 02:34:34.458000+00:00,22,9,4.482511520385742,7.24512767791748,8.762523651123047,4.682413101196289,283706.651,4728.444183333334,78.80740305555557,69.337,5,56,20.690064430236816,True,1.2094367471025333,0.0825831599218217,10,3.9410810470581055,4.860740661621094,-0.4757701951747066,0.6208752739326623,13.013698935897889,21.214181423187256,10,0.9196596145629883,1.0966454691073688,8.200482487289367,False,True,True,True,True
809,2026-05-15T02:35:43.779Z,2026-05-15 02:35:43.779000+00:00,23,0,4.393743515014648,2.94284462928772,3.421968698501587,4.7456159591674805,283775.972,4729.599533333333,78.82665888888889,69.321,5,57,11.110429286956787,True,1.1628098420302375,0.06550869898533014,10,3.811511993408203,4.606015205383301,-0.5906098246553769,0.36171590237649776,9.872028112411499,23.2801775929187,10,0.7945032119750977,0.9523257270318747,13.408149480507202,False,True,True,True,True
810,2026-05-15T02:36:53.152Z,2026-05-15 02:36:53.152000+00:00,23,1,4.28953743,9.677569389343262,6.992137432098389,3.3433055877685547,283845.345,4730.755749999999,78.84592916666665,69.373,5,57,20.013012409210205,True,0.7225096665075825,-0.14115633807616357,10,3.811511993408203,4.606015205383301,-0.5906098246553769,0.36171590237649776,9.872028112411499,23.2801775929187,10,0.7945032119750977,0.9523257270318747,13.408149480507202,False,True,True,True,True
811,2026-05-15T02:38:02.359Z,2026-05-15 02:38:02.359000+00:00,23,2,3.836322784423828,8.662976264953613,2.2236032485961914,8.168315887451172,283914.552,4731.9092,78.86515333333334,69.207,5,57,19.054895401000977,True,0.2566789034839977,-0.5906098246553769,10,3.811511993408203,4.606015205383301,-0.5906098246553769,0.36171590237649776,9.872028112411499,23.2801775929187,10,0.7945032119750977,0.9523257270318747,13.408149480507202,False,True,True,True,True
812,2026-05-15T02:39:11.724Z,2026-05-15 02:39:11.724000+00:00,23,3,4.606015205383301,2.8074965476989746,6.457064628601074,8.275205612182617,283983.917,4733.065283333333,78.8844213888889,69.365,5,57,17.539766788482666,True,2.299936800952894,0.36171590237649776,10,3.811511993408203,4.606015205383301,-0.5906098246553769,0.36171590237649776,9.872028112411499,23.2801775929187,10,0.7945032119750977,0.9523257270318747,13.408149480507202,False,True,True,True,True
813,2026-05-15T02:40:20.992Z,2026-05-15 02:40:20.992000+00:00,23,4,4.298358917236328,5.530537128448486,4.976013184,7.999756813049316,284053.185,4734.21975,78.90366250000001,69.268,5,57,18.506307125497802,True,0.8997341611547864,-0.0458857898916356,10,3.811511993408203,4.606015205383301,-0.5906098246553769,0.36171590237649776,9.872028112411499,23.2801775929187,10,0.7945032119750977,0.9523257270318747,13.408149480507202,False,True,True,True,True
