scope,steps,mae,rmse,max_abs_error,iae,ise,mean_reward,total_reward,mean_ph,mean_target_ph,train_updates
all_steps,200,0.3588028280952815,0.4882832049705385,1.038070773001527,71.76056561905631,47.68409765126018,-0.23842048825630088,-47.684097651260174,4.62339174479557,4.603749990463257,112
hh_warm_start,25,1.5204768999410593e-08,1.5204768999410593e-08,1.5204768999410593e-08,3.8011922498526484e-07,5.779625008135935e-15,-2.311850003254373e-16,-5.7796250081359324e-15,3.8599999103005938,3.859999895095825,0
td3_training_steps,150,0.4599520873875423,0.5620063989341082,1.038070773001527,68.99281310813134,47.3776788664326,-0.315851192442884,-47.3776788664326,4.746307317402393,4.701666633288066,112
td3_eval_steps,25,0.11071008523222993,0.1107102135898153,0.1114260366065096,2.7677521308057482,0.3064187848275631,-0.01225675139310249,-0.30641878482756224,4.649290143649607,4.760000228881836,0
