flow,mean,min,max,p05,p95,lower_bound,upper_bound,lower_saturation_fraction,upper_saturation_fraction,mean_abs_step_change,max_abs_step_change
acid,5.391812483072281,2.279212236404419,8.881842613220215,3.6556532263755797,8.881842613220215,1.0,10.0,0.0,0.0,0.7236262805497826,3.7191076278686523
acetate,4.193838295340538,1.1181575059890747,7.5279860496521,1.1181575059890747,6.706110429763794,1.0,10.0,0.0,0.0,0.812890572164526,4.959843873977661
water,5.314172052145004,3.164663791656494,8.565393447875977,4.142378306388855,6.693448662757866,1.0,10.0,0.0,0.0,0.6979947569382251,5.400670766830444
