sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,water_fraction,buffer_flow_fraction,valid_for_model,valid_for_model_before_flat_trial_filter,uninformative_flat_ph_trial,flow_ratio_acetate_acid,log10_molar_base_acid_ratio,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,prediction_equilibrium_raw,residual_equilibrium_raw,prediction_equilibrium_bias,residual_equilibrium_bias,prediction_equilibrium_affine,residual_equilibrium_affine
10,2026-05-11T20:09:40.352Z,2026-05-11 20:09:40.352000+00:00,23.542416666666668,0.39237361111111113,140.783,0,0,train,1,10,4.953369141,2.5687642097473145,5.994353771209717,1.7615255117416382,10.32464349269867,0.1706136887910314,0.8293863112089687,True,True,False,2.3335554693824436,0.36801812866681155,0.024879931317375564,0.0580586998035213,0.08293863112089686,0.0580586998035213,5.128203715134962,5.128203715134962,-0.1748345741349624,4.785161458245578,0.16820768275442166,4.7126780496849445,0.24069109131505506
11,2026-05-11T20:12:01.263Z,2026-05-11 20:12:01.263000+00:00,25.890933333333333,0.43151555555555554,140.911,0,0,train,1,11,4.251494407653809,6.424426078796387,2.2115581035614014,7.750305652618408,16.386289834976196,0.47297501329895564,0.5270249867010444,True,True,False,0.3442421278471206,-0.4631359824338476,0.03920610549121121,0.013496393178893227,0.05270249867010444,0.013496393178893227,4.299034116326978,4.299034116326978,-0.04753970867316948,3.9559918594375936,0.295502548216215,4.056876988766718,0.1946174188870904
12,2026-05-11T20:14:21.480Z,2026-05-11 20:14:21.480000+00:00,28.227883333333335,0.47046472222222224,140.217,0,0,train,1,12,4.067340850830078,6.418696880340576,1.307341456413269,7.155996799468994,14.88203513622284,0.48084799786900884,0.5191520021309912,True,True,False,0.2036770828698023,-0.6910578337543448,0.043130504810578514,0.008784695402520606,0.051915200213099116,0.008784695402520606,4.0739421926136306,4.0739421926136306,-0.006601341783552428,3.730899935724246,0.3364409151058321,3.878848847614956,0.18849200321512205
13,2026-05-11T20:16:42.488Z,2026-05-11 20:16:42.488000+00:00,30.578016666666667,0.5096336111111112,141.008,0,0,train,1,13,5.113813400268555,2.360363245010376,9.187598228,8.145929336547852,19.693890809558226,0.41362722152365694,0.5863727784763432,True,True,False,3.8924509807640275,0.5902231520255815,0.011985256076797167,0.04665202177083715,0.05863727784763432,0.04665202177083715,5.350426320313486,5.350426320313486,-0.23661292004493095,5.007384063424102,0.1064293368444531,4.8884368093471355,0.22537659092141915
14,2026-05-11T20:19:03.252Z,2026-05-11 20:19:03.252000+00:00,32.924083333333336,0.5487347222222223,140.764,0,0,train,1,14,5.118224143981934,1.1490943431854248,6.300748825073242,8.297214508,15.747057676258667,0.5269057038197964,0.47309429618020366,True,True,False,5.483230217291667,0.7390364804267001,0.007297200320272387,0.04001222929774798,0.04730942961802037,0.04001222929774798,5.499259214698434,5.499259214698434,-0.3810350707165,5.1562169578090495,-0.037992813827115945,5.006150688603558,0.11207345537837554
15,2026-05-11T20:21:23.783Z,2026-05-11 20:21:23.783000+00:00,35.26626666666667,0.5877711111111111,140.531,0,0,train,1,15,4.189741134643555,9.768297195,2.7110466957092285,5.772246837615967,18.251590728325198,0.31625993172517514,0.6837400682748248,True,True,False,0.2775352389049859,-0.5566818662697477,0.05352025114085143,0.014853755686631047,0.06837400682748249,0.014853755686631047,4.205640991120131,4.205640991120131,-0.01589985647657599,3.862598734230746,0.3271424004128085,3.9830111467469815,0.20672998789657315
16,2026-05-11T20:23:44.271Z,2026-05-11 20:23:44.271000+00:00,37.607733333333336,0.6267955555555556,140.488,0,0,train,1,16,4.790167808532715,2.717064380645752,4.586766242980957,8.125826835632324,15.429657459259033,0.52663689113566,0.47336310886433997,True,True,False,1.6881330731997015,0.22740667847351673,0.017609362928632584,0.029726947957801418,0.047336310886434,0.029726947957801418,4.987810590406428,4.987810590406428,-0.19764278187371342,4.644768333517044,0.14539947501567063,4.601639294435166,0.18852851409754923
17,2026-05-11T20:26:05.085Z,2026-05-11 20:26:05.085000+00:00,39.95463333333333,0.6659105555555555,140.814,0,0,train,1,17,4.327580451965332,6.713934421539307,2.7263143062591557,4.685109615325928,14.12535834312439,0.33168076175613875,0.6683192382438612,True,True,False,0.40606805713096206,-0.3914011724340739,0.047531073254558236,0.019300850569827898,0.06683192382438613,0.019300850569827898,4.369947726639729,4.369947726639729,-0.042367274674396604,4.026905469750345,0.30067498221498745,4.11296348897548,0.21461696298985178
18,2026-05-11T20:28:25.695Z,2026-05-11 20:28:25.695000+00:00,42.29813333333333,0.7049688888888889,140.61,0,0,train,1,18,4.789616584777832,6.364859580993652,8.544281005859375,3.0984294414520264,18.007570028305054,0.17206260681378915,0.8279373931862108,True,True,False,1.3424146907142736,0.12788669621200424,0.03534546621775786,0.04744827310086323,0.08279373931862108,0.04744827310086323,4.888164053903471,4.888164053903471,-0.09854746912563872,4.545121797014087,0.24449478776374534,4.5228275477799444,0.2667890369978876
19,2026-05-11T20:30:46.486Z,2026-05-11 20:30:46.486000+00:00,44.64465,0.7440775,140.791,0,0,train,1,19,5.087900161743164,2.196958541870117,7.608425140380859,5.5309882164001465,15.336371898651123,0.36064515473093167,0.6393548452690684,True,True,False,3.463162820498351,0.5394729103717786,0.014325151713772317,0.049610332813134525,0.06393548452690684,0.049610332813134525,5.29966882536137,5.29966882536137,-0.2117686636182059,4.956626568471986,0.13127359327117816,4.8482920439251975,0.23960811781796654
