acid_flow,acetate_flow,water_flow,total_flow,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,water_fraction,buffer_flow_fraction,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,ph_equilibrium_affine
1.0,1.0,1.0,3.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,4.760452344018065,4.421818689091765
1.0,1.0,2.0,4.0,1.0,0.0,0.5,0.5,0.025,0.025,0.05,0.025,4.760602916541205,4.421937778866115
1.0,1.0,3.0,5.0,1.0,0.0,0.6,0.4,0.02,0.02,0.04,0.02,4.760753385474143,4.422056786709622
1.0,1.0,4.0,6.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.016666666666666666,4.760903751048075,4.422175712805143
1.0,1.0,5.0,7.0,1.0,0.0,0.7142857142857143,0.2857142857142857,0.014285714285714287,0.014285714285714287,0.028571428571428574,0.014285714285714287,4.7610540132584935,4.422294557149111
1.0,1.0,6.0,8.0,1.0,0.0,0.75,0.25,0.0125,0.0125,0.025,0.0125,4.761204172076391,4.422413319718584
1.0,1.0,7.0,9.0,1.0,0.0,0.7777777777777778,0.2222222222222222,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.011111111111111112,4.76135422751655,4.422532000525254
1.0,1.0,8.0,10.0,1.0,0.0,0.8,0.2,0.01,0.01,0.02,0.01,4.761504179642495,4.422650599619363
1.0,1.0,9.0,11.0,1.0,0.0,0.8181818181818182,0.18181818181818182,0.009090909090909092,0.009090909090909092,0.018181818181818184,0.009090909090909092,4.761654003469068,4.422769097239824
1.0,1.0,10.0,12.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.008333333333333333,4.7618037565382965,4.422887538897378
1.0,2.0,1.0,4.0,2.0,0.3010299956639812,0.25,0.75,0.025,0.05,0.07500000000000001,0.05,5.0612562828343695,4.659728451446422
1.0,2.0,2.0,5.0,2.0,0.3010299956639812,0.4,0.6,0.02,0.04,0.06,0.04,5.061312823999945,4.659773170592448
1.0,2.0,3.0,6.0,2.0,0.3010299956639812,0.5,0.5,0.016666666666666666,0.03333333333333333,0.05,0.03333333333333333,5.061369352889352,4.6598178800290935
1.0,2.0,4.0,7.0,2.0,0.3010299956639812,0.5714285714285714,0.42857142857142855,0.014285714285714287,0.028571428571428574,0.04285714285714286,0.028571428571428574,5.061425869506961,4.659862579759813
1.0,2.0,5.0,8.0,2.0,0.3010299956639812,0.625,0.375,0.0125,0.025,0.037500000000000006,0.025,5.061482373859997,4.659907269790321
1.0,2.0,6.0,9.0,2.0,0.3010299956639812,0.6666666666666666,0.3333333333333333,0.011111111111111112,0.022222222222222223,0.03333333333333333,0.022222222222222223,5.061538865956462,4.659951950126947
1.0,2.0,7.0,10.0,2.0,0.3010299956639812,0.7,0.3,0.01,0.02,0.03,0.02,5.061595345804396,4.6599966207760515
1.0,2.0,8.0,11.0,2.0,0.3010299956639812,0.7272727272727273,0.2727272727272727,0.009090909090909092,0.018181818181818184,0.027272727272727275,0.018181818181818184,5.061651813411658,4.6600412817438475
1.0,2.0,9.0,12.0,2.0,0.3010299956639812,0.75,0.25,0.008333333333333333,0.016666666666666666,0.025,0.016666666666666666,5.061708268785869,4.660085933036364
1.0,2.0,10.0,13.0,2.0,0.3010299956639812,0.7692307692307693,0.23076923076923078,0.007692307692307693,0.015384615384615385,0.023076923076923078,0.015384615384615385,5.061764711934432,4.660130574659456
1.0,3.0,1.0,5.0,3.0,0.47712125471966244,0.2,0.8,0.02,0.06000000000000001,0.08000000000000002,0.06000000000000001,5.237288871096963,4.798954923696189
1.0,3.0,2.0,6.0,3.0,0.47712125471966244,0.3333333333333333,0.6666666666666666,0.016666666666666666,0.05000000000000001,0.06666666666666668,0.05000000000000001,5.237322382736823,4.7989814284896655
1.0,3.0,3.0,7.0,3.0,0.47712125471966244,0.42857142857142855,0.5714285714285714,0.014285714285714287,0.042857142857142864,0.05714285714285715,0.042857142857142864,5.237355890494175,4.799007930212416
1.0,3.0,4.0,8.0,3.0,0.47712125471966244,0.5,0.5,0.0125,0.037500000000000006,0.05,0.037500000000000006,5.237389394371016,4.799034428866019
1.0,3.0,5.0,9.0,3.0,0.47712125471966244,0.5555555555555556,0.4444444444444444,0.011111111111111112,0.03333333333333334,0.04444444444444445,0.03333333333333334,5.23742289436888,4.799060924451688
1.0,3.0,6.0,10.0,3.0,0.47712125471966244,0.6,0.4,0.01,0.030000000000000006,0.04000000000000001,0.030000000000000006,5.237456390489091,4.799087416970472
1.0,3.0,7.0,11.0,3.0,0.47712125471966244,0.6363636363636364,0.36363636363636365,0.009090909090909092,0.02727272727272728,0.03636363636363637,0.02727272727272728,5.237489882732868,4.799113906423333
1.0,3.0,8.0,12.0,3.0,0.47712125471966244,0.6666666666666666,0.3333333333333333,0.008333333333333333,0.025000000000000005,0.03333333333333334,0.025000000000000005,5.237523371101377,4.799140392811194
1.0,3.0,9.0,13.0,3.0,0.47712125471966244,0.6923076923076923,0.3076923076923077,0.007692307692307693,0.02307692307692308,0.030769230769230774,0.02307692307692308,5.237556855595745,4.799166876134946
1.0,3.0,10.0,14.0,3.0,0.47712125471966244,0.7142857142857143,0.2857142857142857,0.0071428571428571435,0.021428571428571432,0.028571428571428574,0.021428571428571432,5.237590336153668,4.799193356345313
1.0,4.0,1.0,6.0,4.0,0.6020599913279624,0.16666666666666666,0.8333333333333334,0.016666666666666666,0.06666666666666667,0.08333333333333333,0.06666666666666667,5.3622013935718025,4.897749868516569
1.0,4.0,2.0,7.0,4.0,0.6020599913279624,0.2857142857142857,0.7142857142857143,0.014285714285714287,0.05714285714285715,0.07142857142857144,0.05714285714285715,5.362224954338875,4.897768503034844
1.0,4.0,3.0,8.0,4.0,0.6020599913279624,0.375,0.625,0.0125,0.05,0.0625,0.05,5.362248513314323,4.8977871361361
1.0,4.0,4.0,9.0,4.0,0.6020599913279624,0.4444444444444444,0.5555555555555556,0.011111111111111112,0.044444444444444446,0.05555555555555556,0.044444444444444446,5.3622720704984355,4.897805767820565
1.0,4.0,5.0,10.0,4.0,0.6020599913279624,0.5,0.5,0.01,0.04,0.05,0.04,5.362295625891513,4.897824398088478
