model_stage,model_label,split,n,mean_error,mae,rmse,max_abs,correlation
equilibrium_raw,Raw equilibrium,train,731,-0.3430422568893844,0.3469663951137049,0.3818696259566766,0.845302383741962,0.8846034064270263
equilibrium_raw,Raw equilibrium,test,259,-0.43368916736535545,0.43368916736535545,0.44119040962289496,0.6749451210465116,0.9831581624220552
equilibrium_raw,Raw equilibrium,all,990,-0.3667569536704718,0.36965447391489425,0.3982432759761007,0.845302383741962,0.9011285308424889
equilibrium_bias,Equilibrium + bias,train,731,-3.207648465127675e-16,0.12923459863736644,0.167768951884816,0.8446423135982379,0.8846034064270262
equilibrium_bias,Equilibrium + bias,test,259,-0.09064691047597133,0.0926138538482609,0.12157115625016207,0.33190286415712755,0.9831581624220552
equilibrium_bias,Equilibrium + bias,all,990,-0.023714696781087688,0.11965401995011561,0.15700137145245283,0.8446423135982379,0.9011285308424889
equilibrium_affine,Equilibrium affine,train,731,1.9440293728046516e-15,0.12232450023004991,0.14996915027754706,0.6948798929359072,0.8846034064270263
equilibrium_affine,Equilibrium affine,test,259,-0.08046241320824936,0.08223444212896694,0.0974539226958672,0.24696908929194894,0.9831581624220553
equilibrium_affine,Equilibrium affine,all,990,-0.02105026769791429,0.11183629311067568,0.13817178415498127,0.6948798929359072,0.9011285308424886
