flow,mean,min,max,p05,p95,lower_bound,upper_bound,lower_saturation_fraction,upper_saturation_fraction,mean_abs_step_change,max_abs_step_change
acid,5.1158931785159645,1.2381391525268557,8.08454704284668,2.4103610515594482,8.049210357666016,1.0,10.0,0.0,0.0,1.54626044105081,4.510787487030029
acetate,5.3584145704905195,3.1254124641418457,8.2611722946167,3.9776607275009157,7.487525296211241,1.0,10.0,0.0,0.0,0.8675443144405589,3.976900577545166
water,5.0,5.0,5.0,5.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0
