candidate_type,v_tube_ml,split,n,intercept,slope,mean_error,mae,rmse,max_abs,correlation
grid,0.0,test,126,1.002597759458327,0.7628835689032754,-0.2867338158753531,0.2867338158753531,0.2914055938403278,0.4431228046637976,0.98927934445994
grid,0.0,train,205,1.002597759458327,0.7628835689032754,-8.665155314147563e-18,0.05986551790384512,0.09518298287735057,0.5609248094914303,0.9454649830353999
grid,0.5,test,121,0.967760586449151,0.7697474330751044,-0.2847755142727744,0.2847755142727744,0.28981330619710904,0.44116226046677554,0.9888344330504937
grid,0.5,train,197,0.967760586449151,0.7697474330751044,9.828573375361792e-16,0.05946789364564998,0.09463835261325432,0.5545341364354313,0.9452788725711306
grid,1.0,test,121,0.9234222033974746,0.7790857164253506,-0.28513816359981314,0.28513816359981314,0.29041888722809467,0.44109020141793476,0.9881062091715017
grid,1.0,train,197,0.9234222033974746,0.7790857164253506,-8.476017406275307e-16,0.05966141965845757,0.09453641116920385,0.5518587262184509,0.9454000994016241
grid,1.5,test,121,0.8798912540214896,0.7882540545642812,-0.28549381328673495,0.28549381328673495,0.29110563483291624,0.44107806363306246,0.9870868975375611
grid,1.5,train,197,0.8798912540214896,0.7882540545642812,-1.0459766160935485e-15,0.060109819053728884,0.0946332936025785,0.5488604797673817,0.9452848920984323
grid,2.0,test,121,0.8373341770360428,0.797217401097079,-0.2858410739225977,0.2858410739225977,0.2918779707742861,0.4411302794778269,0.9857538099726271
grid,2.0,train,197,0.8373341770360428,0.797217401097079,2.05363081306298e-15,0.06091665399345255,0.09494270775425988,0.5455230555600901,0.9449160689973348
grid,2.5,test,121,0.7959289128164354,0.8059382873976503,-0.2861784613877875,0.2861784613877875,0.2927402599937524,0.4427934623809602,0.9840832137379204
grid,2.5,train,197,0.7959289128164354,0.8059382873976503,9.017039793909901e-17,0.06207512135056642,0.09547716307758636,0.5418302094728791,0.944275818146299
grid,3.0,test,121,0.7558648005055263,0.8143768442319098,-0.28650439786352805,0.28650439786352805,0.2936967582535376,0.4592587585520844,0.9820503826254287
grid,3.0,train,197,0.7558648005055263,0.8143768442319098,-1.266894091044341e-15,0.06346737620790364,0.09624762389229899,0.5377659463482765,0.9433457463985103
grid,3.5,test,121,0.7173423095770827,0.8224908582380834,-0.28681721422669115,0.28681721422669115,0.294751553500501,0.4762603838207733,0.9796296692383374
