trial_id,session_id,split,n_total,n_model_valid,start_time,end_time,max_cumulative_volume_ml,median_theta_transport_s,static_rmse,transport_delay_rmse,transport_dynamic_rmse
31,4,train,10,10,2026-05-14 19:13:36.465000+00:00,2026-05-14 19:24:07.686000+00:00,158.72892834693343,0.0,0.1286426275638735,0.1286426275638735,0.1286426275638735
32,4,train,9,9,2026-05-14 19:25:18.011000+00:00,2026-05-14 19:34:39.008000+00:00,159.99646762208747,0.0,0.11336106870933496,0.11336106870933496,0.11336106870933496
33,5,train,10,0,2026-05-14 22:05:44.519000+00:00,2026-05-14 22:16:10.351000+00:00,160.06941533430665,,,,
34,5,train,1,1,2026-05-14 22:17:19.747000+00:00,2026-05-14 22:17:19.747000+00:00,0.0,0.0,0.09861011403257525,0.09861011403257525,0.09861011403257525
35,5,train,10,10,2026-05-14 22:22:00.127000+00:00,2026-05-14 22:32:24.746000+00:00,162.87448718812067,0.0,0.0658878824310124,0.0658878824310124,0.0658878824310124
36,5,train,10,10,2026-05-14 22:33:34.101000+00:00,2026-05-14 22:43:56.616000+00:00,203.22956820979695,0.0,0.06274298726940461,0.06274298726940461,0.06274298726940461
37,5,train,10,10,2026-05-14 22:45:05.820000+00:00,2026-05-14 22:55:28.025000+00:00,175.61333395513765,0.0,0.08584458389357827,0.08584458389357827,0.08584458389357827
38,5,train,10,10,2026-05-14 22:56:37.104000+00:00,2026-05-14 23:06:59.332000+00:00,163.17303374352286,0.0,0.09640229463764768,0.09640229463764768,0.09640229463764768
39,5,train,10,10,2026-05-14 23:08:08.487000+00:00,2026-05-14 23:18:31.133000+00:00,189.41643362463236,0.0,0.07278670835428966,0.07278670835428966,0.07278670835428966
40,5,train,10,10,2026-05-14 23:19:40.400000+00:00,2026-05-14 23:30:02.840000+00:00,159.5308152868264,0.0,0.0991281872330197,0.0991281872330197,0.0991281872330197
41,5,train,10,10,2026-05-14 23:31:11.920000+00:00,2026-05-14 23:41:34.393000+00:00,140.40457080013633,0.0,0.10501751267038578,0.10501751267038578,0.10501751267038578
42,5,train,10,10,2026-05-14 23:42:43.586000+00:00,2026-05-14 23:53:05.526000+00:00,181.82263106683664,0.0,0.06796554297169922,0.06796554297169922,0.06796554297169922
43,5,train,10,10,2026-05-14 23:54:14.552000+00:00,2026-05-15 00:04:35.973000+00:00,179.93637423141712,0.0,0.0878128616192262,0.0878128616192262,0.0878128616192262
44,5,train,10,10,2026-05-15 00:05:45.242000+00:00,2026-05-15 00:16:07.219000+00:00,164.6202452019761,0.0,0.08706514956239907,0.08706514956239907,0.08706514956239907
45,5,train,10,10,2026-05-15 00:17:16.406000+00:00,2026-05-15 00:27:38.423000+00:00,168.90794464739548,0.0,0.06937526950048876,0.06937526950048876,0.06937526950048876
46,5,train,10,10,2026-05-15 00:28:47.722000+00:00,2026-05-15 00:39:09.675000+00:00,168.60247508465577,0.0,0.09440132488867704,0.09440132488867704,0.09440132488867704
47,5,train,10,10,2026-05-15 00:40:18.755000+00:00,2026-05-15 00:50:42.103000+00:00,190.95299245637332,0.0,0.06114431630937383,0.06114431630937383,0.06114431630937383
48,5,train,10,10,2026-05-15 00:51:51.001000+00:00,2026-05-15 01:02:13.913000+00:00,154.3809964062142,0.0,0.17714350874534676,0.17714350874534676,0.17714350874534676
49,5,train,10,10,2026-05-15 01:03:23.439000+00:00,2026-05-15 01:13:46.234000+00:00,150.63273133968386,0.0,0.11806248501312065,0.11806248501312065,0.11806248501312065
50,5,train,10,10,2026-05-15 01:14:55.539000+00:00,2026-05-15 01:25:17.755000+00:00,151.3744699811456,0.0,0.12012207742390828,0.12012207742390828,0.12012207742390828
51,5,train,10,10,2026-05-15 01:26:27.126000+00:00,2026-05-15 01:36:49.895000+00:00,193.50362075494772,0.0,0.07722192879792703,0.07722192879792703,0.07722192879792703
52,5,train,10,10,2026-05-15 01:37:59.180000+00:00,2026-05-15 01:48:23.135000+00:00,149.37502705130382,0.0,0.07783736824933063,0.07783736824933063,0.07783736824933063
53,5,train,10,10,2026-05-15 01:49:32.354000+00:00,2026-05-15 01:59:56.200000+00:00,162.73221940311615,0.0,0.11430041559777408,0.11430041559777408,0.11430041559777408
54,5,train,10,10,2026-05-15 02:01:05.311000+00:00,2026-05-15 02:11:28.613000+00:00,162.5035692067115,0.0,0.07058917348454248,0.07058917348454248,0.07058917348454248
55,5,train,10,10,2026-05-15 02:12:37.991000+00:00,2026-05-15 02:23:01.485000+00:00,163.54534996346862,0.0,0.09414841202755209,0.09414841202755209,0.09414841202755209
56,5,train,10,10,2026-05-15 02:24:10.684000+00:00,2026-05-15 02:34:34.458000+00:00,176.08494268608516,0.0,0.06172347037404725,0.06172347037404725,0.06172347037404725
57,5,train,10,10,2026-05-15 02:35:43.779000+00:00,2026-05-15 02:46:08.099000+00:00,177.6077500002988,0.0,0.08762945692258779,0.08762945692258779,0.08762945692258779
58,5,train,8,8,2026-05-15 02:47:17.102000+00:00,2026-05-15 02:55:21.801000+00:00,120.79739251847148,0.0,0.10541288521600078,0.10541288521600078,0.10541288521600078
59,6,test,10,10,2026-05-15 14:04:58.822000+00:00,2026-05-15 14:15:24.262000+00:00,190.74274475423493,0.0,0.05445962279856284,0.05445962279856284,0.05445962279856284
60,6,test,10,10,2026-05-15 14:16:33.579000+00:00,2026-05-15 14:26:58.153000+00:00,163.73730164300642,0.0,0.09345846261385529,0.09345846261385529,0.09345846261385529
61,6,test,10,10,2026-05-15 14:28:07.559000+00:00,2026-05-15 14:38:31.723000+00:00,166.50184984943533,0.0,0.11911580221852684,0.11911580221852684,0.11911580221852684
62,6,test,10,10,2026-05-15 14:39:40.775000+00:00,2026-05-15 14:50:04.940000+00:00,149.06888532842473,0.0,0.10534181849380911,0.10534181849380911,0.10534181849380911
63,6,test,10,10,2026-05-15 14:51:14.274000+00:00,2026-05-15 15:01:38.148000+00:00,149.38021969528398,0.0,0.11152673818220304,0.11152673818220304,0.11152673818220304
64,6,test,10,10,2026-05-15 15:02:47.563000+00:00,2026-05-15 15:13:10.841000+00:00,168.6577509607335,0.0,0.12259659823452151,0.12259659823452151,0.12259659823452151
65,6,test,10,10,2026-05-15 15:14:20.080000+00:00,2026-05-15 15:24:45.024000+00:00,182.88858899479303,0.0,0.11759105922685753,0.11759105922685753,0.11759105922685753
66,6,test,10,10,2026-05-15 15:25:54.435000+00:00,2026-05-15 15:36:19.048000+00:00,177.188350618722,0.0,0.09309753233643932,0.09309753233643932,0.09309753233643932
67,6,test,10,10,2026-05-15 15:37:28.174000+00:00,2026-05-15 15:47:51.554000+00:00,158.64599567164976,0.0,0.10698214371701416,0.10698214371701416,0.10698214371701416
68,6,test,10,10,2026-05-15 15:49:00.656000+00:00,2026-05-15 15:59:24.786000+00:00,153.47838379919784,0.0,0.0859088033315587,0.0859088033315587,0.0859088033315587
69,6,test,10,10,2026-05-15 16:00:33.952000+00:00,2026-05-15 16:10:57.132000+00:00,180.10821343458332,0.0,0.13819051271054314,0.13819051271054314,0.13819051271054314
70,6,test,10,10,2026-05-15 16:12:06.577000+00:00,2026-05-15 16:22:29.128000+00:00,164.5984712049529,0.0,0.10116953030204728,0.10116953030204728,0.10116953030204728
71,6,test,10,10,2026-05-15 16:23:38.729000+00:00,2026-05-15 16:34:02.835000+00:00,182.32339885729994,0.0,0.06931410665254328,0.06931410665254328,0.06931410665254328
72,6,test,10,10,2026-05-15 16:35:11.957000+00:00,2026-05-15 16:45:36.892000+00:00,187.7583410421722,0.0,0.0709249003207233,0.0709249003207233,0.0709249003207233
73,6,test,10,10,2026-05-15 16:46:46.877000+00:00,2026-05-15 16:57:12.130000+00:00,168.06356565157773,0.0,0.07383340068670217,0.07383340068670217,0.07383340068670217
