phase,steps,mae,rmse,max_abs_error,mean_abs_ratio_error,mean_reward,mean_exploration_sigma,mean_exploration_magnitude
all_steps,25000,0.02842130442123089,0.053323067449942786,0.5516684714110944,0.028421304421230944,-0.03155544466169895,0.0617536,0.04946184682357598
first_5000_steps,5000,0.0840367855994194,0.11303662719689182,0.5516684714110944,0.08403678559941945,-0.09793787149834064,0.18996799999999997,0.15256269157617502
after_exploration_decay,20000,0.014517434126683758,0.018970164227719754,0.1457123523723922,0.01451743412668381,-0.014959837952538529,0.0297,0.023686635635426216
last_5000_training_steps,5000,0.016180055632292654,0.02072784065551975,0.1457123523723922,0.0161800556322927,-0.016749494217777983,0.03,0.024064471506475456
evaluation_cycle,200,0.015858307161185553,0.016167131640386603,0.060054486706127,0.01585830716118559,-0.01619046909540683,0.0,0.0
first_20_each_cycle,2500,0.03257895945202826,0.05920098193820693,0.4880533376495339,0.032578959452028315,-0.03675590096840193,0.0629056,0.04939810829629619
first_50_each_cycle,6250,0.030888353413858753,0.05781399605196024,0.5516684714110944,0.030888353413858798,-0.034656359432885975,0.06271360000000001,0.05013938007632087
last_50_each_cycle,6250,0.026560001473726284,0.04992200549747579,0.4502424021416518,0.02656000147372634,-0.029273903016384592,0.0607936,0.04833581025070581
