flow,mean,min,max,p05,p95,lower_bound,upper_bound,lower_saturation_fraction,upper_saturation_fraction,mean_abs_step_change,max_abs_step_change
acid,7.522377661323548,5.0,10.0,5.4577093601226805,9.561727333068847,1.0,10.0,0.0,4e-05,0.21868426126739282,4.400897979736328
acetate,7.477622339363098,5.0,10.0,5.43827269077301,9.54229016304016,1.0,10.0,0.0,0.00012,0.21868426147720957,4.400897979736328
water,5.0,5.0,5.0,5.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0
buffer_sum,15.000000000686645,14.999999523162842,15.000000476837158,14.999999523162842,15.000000476837158,15.0,15.0,,,2.928088009750859e-07,9.5367431640625e-07
