rank_type,cycle,target_ph,is_test,mean_abs_error,rmse,max_abs_error,move_cost_sum
worst,2,5.03701639175415,False,0.2657683117608891,0.2809302876978373,0.5516684714110944,36.97118353572263
worst,1,4.829573631286621,False,0.1425668453367156,0.1692718051462177,0.3706036269506025,35.04709940288012
worst,14,5.016491889953613,False,0.1369751485964216,0.1458819706372357,0.2885005448252,14.54017253463542
worst,4,4.652917861938477,False,0.1361446220284511,0.1572845099380155,0.3293026177601037,34.96338460806692
worst,5,4.645994186401367,False,0.1324239790667734,0.1538023622736199,0.3657138119366765,40.48832776940367
best,65,4.964087963104248,False,0.0072974078547324,0.0099035457065231,0.0395936541144026,1.3776197434863915
best,101,5.007728099822998,False,0.0073698052661709,0.0094941565455684,0.0334717974165981,3.3271996724288933
best,41,4.544668197631836,False,0.00757913206036,0.0098622192422903,0.0264870675332886,1.1458305719663144
best,28,4.556336402893066,False,0.0077794138237163,0.0098236152696519,0.0308303888702807,1.4498077387560393
best,48,4.813762664794922,False,0.0078291835677851,0.0100027654676331,0.0416619649983616,1.0233161402247075
