cycle,target_ph,is_test,steps,mean_ph,mean_abs_error,rmse,max_abs_error,reward_sum,squared_error_cost_sum,absolute_error_cost_sum,move_cost_sum,total_cost_sum,train_updates
0,4.81090784072876,False,200,4.793983284561815,0.0861650443175975,0.1059240519762871,0.3110630321913152,-19.932703364329683,2.243980957415035,17.233008863519515,45.57135433951362,19.932703364329683,197
1,4.953698635101318,False,200,4.829898927615248,0.1322715823591173,0.1552269431051354,0.336038229665192,-31.661490732341367,4.819080773152989,26.454316471823468,38.809348736491074,31.661490732341367,200
2,4.607839584350586,True,200,4.852272531222323,0.2444329468717372,0.2444332352792253,0.2451180662102219,-60.83611863847332,11.949521301813828,48.88658937434744,0.0007962312044957,60.83611863847332,0
