flow,mean,min,max,p05,p95,lower_bound,upper_bound,lower_saturation_fraction,upper_saturation_fraction,mean_abs_step_change,max_abs_step_change
acid,6.941051725546519,5.0,9.681513786315918,5.751961255073548,8.24216752052307,1.0,10.0,0.0,0.0,0.6294770750259119,3.3369965553283683
acetate,8.05894829829534,5.31848669052124,10.0,6.757832026481628,9.248038721084594,1.0,10.0,0.0,0.006666666666666667,0.6294770837825209,3.336996555328369
water,5.0,5.0,5.0,5.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0
buffer_sum,15.000000023841858,14.999999523162842,15.000000476837158,14.999999523162842,15.000000476837158,15.0,15.0,,,3.208103084404998e-07,9.5367431640625e-07
