flow,mean,min,max,p05,p95,lower_bound,upper_bound,lower_saturation_fraction,upper_saturation_fraction,mean_abs_step_change,max_abs_step_change
acid,7.486684299373627,5.0,10.0,5.315029287338257,9.580200433731079,1.0,10.0,0.0,4e-05,0.19510513530850146,4.49930477142334
acetate,7.51331570183754,5.0,10.0,5.419799113273621,9.684971141815186,1.0,10.0,0.0,0.00122,0.19510513823634015,4.49930477142334
water,5.0,5.0,5.0,5.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0
buffer_sum,15.000000001211166,14.999999523162842,15.000000476837158,14.999999523162842,15.000000476837158,15.0,15.0,,,2.910386119099335e-07,9.5367431640625e-07
