rank_type,cycle,target_ph,is_test,mean_abs_error,rmse,max_abs_error,move_cost_sum
worst,2,5.03701639175415,False,0.1724833803650537,0.1937864335381056,0.4246512325802474,76.11226665713048
worst,4,4.652917861938477,False,0.1564315938148306,0.1776301396762652,0.4081121337255045,73.0155275777341
worst,0,4.856581687927246,False,0.1454164760962363,0.172836826662593,0.3976116835912275,95.75171562211312
worst,5,4.645994186401367,False,0.1327963640454957,0.1541111384182055,0.4057598735439738,74.30549093214586
worst,7,4.634143352508545,False,0.1071416721073666,0.1267815352331922,0.318173800223458,65.20646532989554
best,74,4.569960594177246,False,0.007512485128303,0.0096830948012863,0.0283939608595513,1.1078759911972789
best,100,4.517995357513428,False,0.0079370601368639,0.0099540375994682,0.0272752005746603,3.141771155140788
best,106,5.023156642913818,False,0.0080222704377431,0.0101259126647881,0.0330079717287388,0.9218602715244302
best,99,5.029332160949707,False,0.0080236352091292,0.0100096648659245,0.0311809490757504,1.997284776738102
best,66,4.567883014678955,False,0.0080368130595942,0.0101315901157598,0.0315238727410998,2.731585131821589
