phase,steps,mae,rmse,max_abs_error,mean_abs_ratio_error,mean_reward,mean_exploration_sigma,mean_exploration_magnitude
all_steps,50000,0.02346702436517886,0.04465980772114624,0.4246512325802474,0.023467024365178894,-0.025689623681575596,0.0617568,0.049353015280494794
first_10000_steps,10000,0.06569011087506653,0.09386470420911662,0.4246512325802474,0.06569011087506658,-0.07545835927170187,0.18998399999999996,0.1516809913130929
after_exploration_decay,40000,0.012911252737706934,0.017043396317810395,0.1026270170144929,0.01291125273770698,-0.013247439784044027,0.0297,0.023771021272345254
last_5000_training_steps,5000,0.010570654596182212,0.013740654537230208,0.1026270170144929,0.010570654596182266,-0.01080748230221936,0.03,0.02419035436392452
evaluation_cycle,400,0.04282218057015097,0.04282806110416409,0.0430423809110775,0.042822180570151025,-0.04468306151092324,0.0,0.0
first_20_each_cycle,2500,0.02688800938187263,0.05024245670646474,0.4057598735439738,0.026888009381872677,-0.030000478325804766,0.06297280000000001,0.050825408863341866
first_50_each_cycle,6250,0.025765582074011455,0.04862044093902524,0.4246512325802474,0.0257655820740115,-0.028510652357272626,0.0628768,0.05125862327944601
last_50_each_cycle,31250,0.02274634881939794,0.043506408079369945,0.4081121337255045,0.022746348819397987,-0.024839917149959197,0.061276800000000006,0.04877913201367102
